Sno,Candidate,Constituency ,Party,Criminal Case,Education,Total Assets,Liabilities
1,MADHUSUDHAN REDDY THAKKALA,Adilabad,TRS,0,Graduate Professional,"Rs 75,50,000
~ 75 Lacs+","Rs 1,20,000
~ 1 Lacs+"
2,CHENGARA SURENDRAN,Adoor,CPI,0,Graduate,"Rs 6,274
~ 6 Thou+","Rs 41,438
~ 41 Thou+"
3,RAJ BABBAR,Agra,SP,2,Graduate,"Rs 2,23,26,400
~ 2 Crore+","Rs 10,00,000
~ 10 Lacs+"
4,HARIN PATHAK,Ahmedabad,BJP,1,Graduate Professional,"Rs 1,02,87,931
~ 1 Crore+","Rs 0
~"
5,GADAKH TUKARAM GANGADHAR,Ahmednagar,NCP,2,Graduate,"Rs 2,34,46,680
~ 2 Crore+","Rs 46,80,000
~ 46 Lacs+"
6,RASA SINGH RAWAT,Ajmer,BJP,0,Post Graduate,"Rs 14,71,446
~ 14 Lacs+","Rs 0
~"
7,MAYAWATI,Akbarpur,BSP,1,Graduate Professional,"Rs 11,35,44,000
~ 11 Crore+","Rs 0
~"
8,DHOTRE SANJAY SHAMRAO,Akola,BJP,0,Graduate Professional,"Rs 1,22,89,645
~ 1 Crore+","Rs 24,08,285
~ 24 Lacs+"
9,BIJENDRA SINGH,Aligarh,INC,0,Graduate,"Rs 28,92,600
~ 28 Lacs+","Rs 0
~"
10,Joachim Baxla,Alipurduars,RSP,0,Graduate,"Rs 4,85,800
~ 4 Lacs+","Rs 0
~"
11,KUNWAR REWATI RAMAN SINGH URF MANI JI,Allahabad,SP,1,Graduate Professional,"Rs 2,28,37,000
~ 2 Crore+","Rs 10,50,000
~ 10 Lacs+"
12,DR. K. S. MANOJ,Alleppey,CPM,0,Doctorate,"Rs 8,00,231
~ 8 Lacs+","Rs 54,317
~ 54 Thou+"
13,DR. KARAN SINGH YADAV,Alwar,INC,0,Post Graduate,"Rs 40,23,529
~ 40 Lacs+","Rs 10,22,864
~ 10 Lacs+"
14,SELJA,Ambala,INC,0,Post Graduate,"Rs 71,76,087
~ 71 Lacs+","Rs 0
~"
15,RAHUL GANDHI,Amethi,INC,0,Post Graduate,"Rs 55,38,123
~ 55 Lacs+","Rs 0
~"
16,ANANT GUDHE,Amravati,SHS,0,Graduate,"Rs 35,32,477
~ 35 Lacs+","Rs 2,17,263
~ 2 Lacs+"
17,VIRJIBHAI THUMMAR,Amreli,INC,1,Graduate,"Rs 1,52,27,334
~ 1 Crore+","Rs 87,000
~ 87 Thou+"
18,NAVJOT SINGH SIDHU,Amritsar,BJP,1,Graduate,"Rs 6,42,11,374
~ 6 Crore+","Rs 3,98,529
~ 3 Lacs+"
19,HARISH NAGPAL,Amroha,IND,0,10th Pass,"Rs 6,72,34,623
~ 6 Crore+","Rs 0
~"
20,CHALAPATHIRAO PAPPALA,Anakapalli,TDP,0,Graduate,"Rs 53,96,505
~ 53 Lacs+","Rs 2,46,000
~ 2 Lacs+"
21,SOLANKI BHARATSINH MADHAVSINH,Anand,INC,0,Graduate Professional,"Rs 9,96,308
~ 9 Lacs+","Rs 0
~"
22,ANANTHA VENKATA RAMI REDDY,Anantapur,INC,0,Post Graduate,"Rs 38,90,000
~ 38 Lacs+","Rs 4,37,636
~ 4 Lacs+"
23,MEHBOOBA MUFTI,Anantnag,JKPDP,0,Graduate Professional,"Rs 4,50,000
~ 4 Lacs+","Rs 0
~"
24,MANORANJAN BHAKTA,Andaman & Nicobar Islands,INC,0,Post Graduate,"Rs 59,26,740
~ 59 Lacs+","Rs 2,72,061
~ 2 Lacs+"
25,KUNWAR SARVRAJ SINGH,Aonla,JD(U),1,Graduate Professional,"Rs 1,42,81,673
~ 1 Crore+","Rs 0
~"
26,"VELU, R.",Arakkonam,PMK,0,Post Graduate,"Rs 46,10,868
~ 46 Lacs+","Rs 97,947
~ 97 Thou+"
27,Anil Basu,Arambagh,CPM,0,Literate,"Rs 10,42,327
~ 10 Lacs+","Rs 0
~"
28,SUKDEO PASWAN,Araria,BJP,1,10th Pass,"Rs 59,34,736
~ 59 Lacs+","Rs 5,71,481
~ 5 Lacs+"
29,KANTI SINGH,Arrah,RJD,0,Graduate,"Rs 1,16,02,840
~ 1 Crore+","Rs 33,797
~ 33 Thou+"
30,TAPIR GAO,Arunachal East,BJP,0,Post Graduate,"Rs 55,16,640
~ 55 Lacs+","Rs 50,000
~ 50 Thou+"
31,KHIREN RIJIJU,Arunachal West,BJP,0,Graduate,"Rs 65,11,344
~ 65 Lacs+","Rs 0
~"
32,Bikash Chowdhury,Asansol,CPM,0,Not Given,"Rs 29,12,206
~ 29 Lacs+","Rs 0
~"
33,HARI HAR SWAIN,Aska,BJD,0,12th Pass,"Rs 1,21,92,000
~ 1 Crore+","Rs 15,86,478
~ 15 Lacs+"
34,NIKHIL KUMAR,Aurangabad,INC,0,Post Graduate,"Rs 7,44,89,984
~ 7 Crore+","Rs 12,20,000
~ 12 Lacs+"
35,CHANDRAKANT KHAIRE,Aurangabad,SHS,13,Graduate,"Rs 93,33,773
~ 93 Lacs+","Rs 60,43,722
~ 60 Lacs+"
36,BIREN SINGH ENGTI,Autonomous District,INC,0,Post Graduate,"Rs 53,89,194
~ 53 Lacs+","Rs 0
~"
37,RAMAKANT YADAV,Azamgarh,BSP,9,10th Pass,"Rs 1,73,58,777
~ 1 Crore+","Rs 2,00,000
~ 2 Lacs+"
38,P. SATHEEDEVI,Badagara,CPM,1,Graduate Professional,"Rs 13,31,000
~ 13 Lacs+","Rs 0
~"
39,KAILASH BAITHA,Bagaha,JD(U),0,10th Pass,"Rs 49,000
~ 49 Thou+","Rs 35,000
~ 35 Thou+"
40,GADDIGOUDAR PARVATAGOUDA CHANDANAGOUDA,Bagalkot,BJP,0,Graduate Professional,"Rs 53,75,000
~ 53 Lacs+","Rs 10,00,000
~ 10 Lacs+"
41,AJIT SINGH,Baghpat,RLD,0,Post Graduate,"Rs 1,34,23,683
~ 1 Crore+","Rs 14,56,567
~ 14 Lacs+"
42,RUBAB SAYEDA,Bahraich,SP,0,Post Graduate,"Rs 1,53,46,459
~ 1 Crore+","Rs 0
~"
43,GAURI SHANKAR CHATURBHUJ BISEN,Balaghat,BJP,0,Post Graduate,"Rs 96,67,350
~ 96 Lacs+","Rs 14,91,190
~ 14 Lacs+"
44,MAHAMEGHA BAHAN AIRA KHARBELA SWAIN,Balasore,BJP,0,Post Graduate,"Rs 10,10,000
~ 10 Lacs+","Rs 0
~"
45,SURAJ SINGH,Balia,LJNSP,17,Literate,"Rs 15,16,070
~ 15 Lacs+","Rs 60,024
~ 60 Thou+"
46,CHANDRA SHEKHAR,Ballia,Samajwadi Janata Party (Rashtriya),0,Post Graduate,"Rs 40,35,983
~ 40 Lacs+","Rs 11,45,552
~ 11 Lacs+"
47,BRIJ BHUSHAN SHARAN SINGH,Balrampur,BJP,2,Graduate Professional,"Rs 3,58,10,577
~ 3 Crore+","Rs 0
~"
48,Ranen Barman,Balurghat,RSP,0,10th Pass,"Rs 9,68,333
~ 9 Lacs+","Rs 0
~"
49,CHAVDA HARISINHAJI PRATAPSINHAJI,Banaskantha,INC,1,10th Pass,"Rs 1,76,93,895
~ 1 Crore+","Rs 0
~"
50,SHYAMA CHARAN GUPT,Banda,SP,0,Graduate Professional,"Rs 11,24,56,867
~ 11 Crore+","Rs 0
~"
51,DR. H.T. SANGLIANA,Bangalore North,BJP,0,Graduate,"Rs 76,66,050
~ 76 Lacs+","Rs 0
~"
52,GIRIDHARI YADAV,Banka,RJD,0,Post Graduate,"Rs 28,41,000
~ 28 Lacs+","Rs 3,51,513
~ 3 Lacs+"
53,Acharia Basudeb,Bankura,CPM,0,Post Graduate,"Rs 17,08,375
~ 17 Lacs+","Rs 0
~"
54,MAHAVEER PRASAD,Bansgaon,INC,0,Post Graduate,"Rs 89,44,794
~ 89 Lacs+","Rs 0
~"
55,DHAN SINGH RAWAT,Banswara,BJP,2,Graduate Professional,"Rs 19,05,788
~ 19 Lacs+","Rs 2,50,000
~ 2 Lacs+"
56,DAGGUBATI PURANDARESWARI,Bapatla,INC,0,Others,"Rs 4,09,07,640
~ 4 Crore+","Rs 52,12,201
~ 52 Lacs+"
57,KAMLA PRASAD,Bara Banki,BSP,0,Graduate,"Rs 46,99,000
~ 46 Lacs+","Rs 5,00,000
~ 5 Lacs+"
58,PAWAR SHARADCHANDRA GOVINDRAO,Baramati,NCP,1,10th Pass,"Rs 4,48,14,206
~ 4 Crore+","Rs 13,301
~ 13 Thou+"
59,ABDUL RASHID SHAHEEN,Baramulla,JKN,0,Post Graduate,"Rs 1,71,74,843
~ 1 Crore+","Rs 10,56,615
~ 10 Lacs+"
60,Subrata Bose,Barasat,AIFB,0,Graduate,"Rs 23,86,568
~ 23 Lacs+","Rs 35,700
~ 35 Thou+"
61,SANTOSH GANGWAR,Bareilly,BJP,0,Post Graduate,"Rs 70,43,413
~ 70 Lacs+","Rs 2,50,154
~ 2 Lacs+"
62,VIJAY KRISHNA,Barh,RJD,1,Post Graduate,"Rs 58,32,524
~ 58 Lacs+","Rs 27,725
~ 27 Thou+"
63,MANVENDRA SINGH,Barmer,BJP,0,Post Graduate,"Rs 46,56,839
~ 46 Lacs+","Rs 73,531
~ 73 Thou+"
64,A. F. GOLAM OSMANI,Barpeta,INC,0,Graduate Professional,"Rs 10,05,000
~ 10 Lacs+","Rs 0
~"
65,Tarit Baran Topdar,Barrackpore,CPM,0,Post Graduate,"Rs 94,53,015
~ 94 Lacs+","Rs 0
~"
66,Ajay Chakraborty,Basirhat,CPI,0,Graduate Professional,"Rs 72,18,672
~ 72 Lacs+","Rs 0
~"
67,BALIRAM KASHYAP,Bastar,BJP,1,8th Pass,"Rs 18,65,382
~ 18 Lacs+","Rs 1,77,442
~ 1 Lacs+"
68,LAL MANI PRASAD,Basti,BSP,0,Graduate,"Rs 10,71,480
~ 10 Lacs+","Rs 0
~"
69,RAMSWAROOP KOLI,Bayana,BJP,3,8th Pass,"Rs 10,53,100
~ 10 Lacs+","Rs 0
~"
70,RAJIV RANJAN SINGH,Begusarai,JD(U),0,Graduate,"Rs 67,46,462
~ 67 Lacs+","Rs 0
~"
71,ANGADI SURESH CHANABASAPPA,Belgaum,BJP,0,Graduate Professional,"Rs 4,74,66,695
~ 4 Crore+","Rs 88,52,490
~ 88 Lacs+"
72,G. KARUNAKARA REDDY,Bellary,BJP,0,Graduate,"Rs 1,09,30,950
~ 1 Crore+","Rs 4,16,228
~ 4 Lacs+"
73,Adhir Ranjan Chowdhury,Berhampore,INC,3,10th Pass,"Rs 1,93,95,174
~ 1 Crore+","Rs 0
~"
74,CHANDRA SEKHAR SAHU,Berhampur,INC,0,Graduate Professional,"Rs 14,19,000
~ 14 Lacs+","Rs 0
~"
75,RAGHUNATH JHA,Bettiah,RJD,2,12th Pass,"Rs 1,12,67,189
~ 1 Crore+","Rs 0
~"
76,KHANDELWAL VIJAY KUMAR (MUNNI BHAIA),Betul,BJP,0,Graduate Professional,"Rs 1,65,07,774
~ 1 Crore+","Rs 9,53,983
~ 9 Lacs+"
77,MIDIYAM BABU RAO,Bhadrachalam,CPM,0,Graduate Professional,"Rs 5,42,000
~ 5 Lacs+","Rs 1,30,000
~ 1 Lacs+"
78,SUSHIL KUMAR MODI,Bhagalpur,BJP,3,Post Graduate,"Rs 34,10,312
~ 34 Lacs+","Rs 9,35,401
~ 9 Lacs+"
79,PATLE SHISHUPAL NATTHU,Bhandara,BJP,0,Graduate Professional,"Rs 11,84,050
~ 11 Lacs+","Rs 12,000
~ 12 Thou+"
80,VISHVENDRA SINGH,Bharatpur,BJP,0,12th Pass,"Rs 8,78,94,237
~ 8 Crore+","Rs 5,25,000
~ 5 Lacs+"
81,PARAMJIT KAUR GULSHAN,Bhatinda,SAD,0,Post Graduate,"Rs 65,07,661
~ 65 Lacs+","Rs 0
~"
82,RANA RAJENDRASINH GHANASHYAMSINH (RAJUBHAI RANA),Bhavnagar,BJP,0,Graduate Professional,"Rs 23,50,613
~ 23 Lacs+","Rs 0
~"
83,VIJAYENDRAPAL SINGH,Bhilwara,BJP,0,Graduate,"Rs 2,37,65,671
~ 2 Crore+","Rs 2,50,000
~ 2 Lacs+"
84,DR. RAMLAKHAN SINGH,Bhind,BJP,1,Graduate Professional,"Rs 57,74,939
~ 57 Lacs+","Rs 2,84,945
~ 2 Lacs+"
85,KULDEEP BISHNOI,Bhiwani,INC,0,Graduate,"Rs 14,37,24,090
~ 14 Crore+","Rs 2,18,65,304
~ 2 Crore+"
86,KAILASH JOSHI,Bhopal,BJP,0,10th Pass,"Rs 26,95,080
~ 26 Lacs+","Rs 0
~"
87,PRASANNA KUMAR PATASANI,Bhubaneswar,BJD,0,Post Graduate,"Rs 44,41,581
~ 44 Lacs+","Rs 0
~"
88,RAMCHANDRA VEERAPPA,Bidar,BJP,0,Literate,"Rs 24,80,708
~ 24 Lacs+","Rs 8,16,000
~ 8 Lacs+"
89,BASANAGOUDA R PATIL(YATNAL),Bijapur,BJP,2,Graduate,"Rs 56,03,503
~ 56 Lacs+","Rs 12,00,000
~ 12 Lacs+"
90,Munshiram S/o Sri Ramcharan Singh,Bijnor,RLD,0,Others,"Rs 29,42,225
~ 29 Lacs+","Rs 7,20,000
~ 7 Lacs+"
91,DHARMENDRA,Bikaner,BJP,0,12th Pass,"Rs 23,03,26,000
~ 23 Crore+","Rs 54,28,225
~ 54 Lacs+"
92,AJIT KUMAR SINGH,Bikramganj,JD(U),0,Post Graduate,"Rs 1,43,62,110
~ 1 Crore+","Rs 0
~"
93,PUNNULAL MOHLE,Bilaspur,BJP,0,12th Pass,"Rs 37,27,718
~ 37 Lacs+","Rs 0
~"
94,RAJA RAM PAL,Bilhaur,BSP,0,Graduate Professional,"Rs 14,71,113
~ 14 Lacs+","Rs 2,00,000
~ 2 Lacs+"
95,Ram Chandra Dome,Birbhum,CPM,0,Doctorate,"Rs 4,09,541
~ 4 Lacs+","Rs 2,862
~ 2 Thou+"
96,KONDAPALLI PYDITHALLI NAIDU,Bobbili,TDP,0,Not Given,"Rs 19,79,000
~ 19 Lacs+","Rs 50,000
~ 50 Thou+"
97,SANGEETA KUMARI SINGH DEO,Bolangir,BJP,0,Graduate,"Rs 2,68,99,686
~ 2 Crore+","Rs 3,83,762
~ 3 Lacs+"
98,Chatterjee Somnath,Bolpur,CPM,0,Post Graduate,"Rs 1,05,51,015
~ 1 Crore+","Rs 0
~"
99,VASAVA MANSUKHBHAI DHANJIBHAI,Broach,BJP,0,Post Graduate,"Rs 15,83,619
~ 15 Lacs+","Rs 0
~"
100,SALEEM IQBAL SHERVANI,Budaun,SP,0,Graduate,"Rs 9,69,80,000
~ 9 Crore+","Rs 5,940
~ 5 Thou+"
101,KALYAN SINGH,Bulandshahr,BJP,0,Graduate Professional,"Rs 62,09,253
~ 62 Lacs+","Rs 0
~"
102,ADSUL ANANDRAO VITHOBA,Buldhana,SHS,2,Graduate,"Rs 2,06,30,019
~ 2 Crore+","Rs 61,11,246
~ 61 Lacs+"
103,KISHANBHAI VESTABHAI PATEL,Bulsar,INC,2,10th Pass,"Rs 2,79,461
~ 2 Lacs+","Rs 0
~"
104,Nikhilananda Sar,Burdwan,CPM,0,Graduate Professional,"Rs 34,31,414
~ 34 Lacs+","Rs 0
~"
105,LALMUNI CHAUBEY,Buxar,BJP,0,12th Pass,"Rs 84,31,336
~ 84 Lacs+","Rs 0
~"
106,Md. Salim,Calcutta North East,CPM,0,Post Graduate,"Rs 31,09,485
~ 31 Lacs+","Rs 0
~"
107,Mamata Banerjee,Calcutta South,AITC,0,Post Graduate,"Rs 3,75,489
~ 3 Lacs+","Rs 0
~"
108,M. P. VEERENDRA KUMAR,Calicut,JD(S),0,Post Graduate,"Rs 4,76,21,096
~ 4 Crore+","Rs 46,54,480
~ 46 Lacs+"
109,SHAILENDRA KUMAR,Chail,SP,0,12th Pass,"Rs 93,37,424
~ 93 Lacs+","Rs 10,92,000
~ 10 Lacs+"
110,M. SHIVANNA,Chamarajanagar,JD(S),1,Graduate,"Rs 9,42,100
~ 9 Lacs+","Rs 10,000
~ 10 Thou+"
111,KAILASH NATH SINGH YADAV,Chandauli,BSP,0,Graduate,"Rs 58,43,089
~ 58 Lacs+","Rs 0
~"
112,PAWAN KUMAR BANSAL,Chandigarh,INC,0,Graduate Professional,"Rs 1,75,50,052
~ 1 Crore+","Rs 0
~"
113,KAPIL SIBAL,Chandni Chowk,INC,0,Post Graduate,"Rs 15,88,50,000
~ 15 Crore+","Rs 0
~"
114,AHIR HANSRAJ GANGARAM,Chandrapur,BJP,16,10th Pass,"Rs 26,53,960
~ 26 Lacs+","Rs 0
~"
115,LALU PRASAD,Chapra,RJD,7,Graduate Professional,"Rs 87,68,342
~ 87 Lacs+","Rs 2,20,41,400
~ 2 Crore+"
116,DHIRENDRA AGARWAL,Chatra,RJD,1,Doctorate,"Rs 2,80,85,948
~ 2 Crore+","Rs 7,50,000
~ 7 Lacs+"
117,"MOORTHY, A.K.",Chengalpattu,PMK,0,Post Graduate,"Rs 36,96,741
~ 36 Lacs+","Rs 3,69,957
~ 3 Lacs+"
118,KAMALNATH,Chhindwara,INC,0,Graduate,"Rs 5,18,39,379
~ 5 Crore+","Rs 0
~"
119,NARANBHAI RATHWA,Chhota Udaipur,INC,0,Post Graduate,"Rs 27,93,000
~ 27 Lacs+","Rs 2,71,125
~ 2 Lacs+"
120,"PONNUSWAMY, E.",Chidambaram,PMK,0,Post Graduate,"Rs 4,20,000
~ 4 Lacs+","Rs 3,18,534
~ 3 Lacs+"
121,R.L. JALAPPA,Chikballapur,INC,0,Graduate,"Rs 4,02,39,308
~ 4 Crore+","Rs 1,05,000
~ 1 Lacs+"
122,JIGAJINAGI RAMESH CHANDAPPA,Chikkodi,BJP,0,Graduate,"Rs 54,80,600
~ 54 Lacs+","Rs 75,000
~ 75 Thou+"
123,D. C. SRIKANTAPPA,Chikmagalur,BJP,0,10th Pass,"Rs 60,69,785
~ 60 Lacs+","Rs 0
~"
124,SHIVANKAR MAHADEORAO SUKAJI,Chimur,BJP,0,Post Graduate,"Rs 44,12,847
~ 44 Lacs+","Rs 1,97,913
~ 1 Lacs+"
125,VARKALA RADHAKRISHNAN,Chirayinkil,CPM,0,Graduate Professional,"Rs 7,56,621
~ 7 Lacs+","Rs 0
~"
126,N.Y. HANUMANTHAPPA,Chitradurga,INC,0,Post Graduate,"Rs 62,50,000
~ 62 Lacs+","Rs 0
~"
127,D.K. AUDIKESAVULU,Chittoor,TDP,0,Not Given,"Rs 67,05,76,468
~ 67 Crore+","Rs 0
~"
128,SHRICHAND KRIPLANI,Chittorgarh,BJP,0,Not Given,"Rs 24,48,887
~ 24 Lacs+","Rs 0
~"
129,RAMSINGH KASWAN,Churu,BJP,0,Graduate Professional,"Rs 1,31,98,438
~ 1 Crore+","Rs 2,08,154
~ 2 Lacs+"
130,Prasanta Pradhan,Contai,CPM,0,Post Graduate,"Rs 14,10,752
~ 14 Lacs+","Rs 15,000
~ 15 Thou+"
131,Hiten Barman,Cooch Behar,AIFB,0,12th Pass,"Rs 5,46,676
~ 5 Lacs+","Rs 2,79,146
~ 2 Lacs+"
132,VENKATAPATHY. K,Cuddalore,DMK,5,Graduate Professional,"Rs 36,17,839
~ 36 Lacs+","Rs 0
~"
133,Y.S. VIVEKANANDA REDDY,Cuddapah,INC,0,Graduate,"Rs 3,62,27,380
~ 3 Crore+","Rs 0
~"
134,BHARTRUHARI MAHTAB,Cuttack,BJD,0,Post Graduate,"Rs 1,78,43,407
~ 1 Crore+","Rs 1,69,357
~ 1 Lacs+"
135,DELKAR MOHANBHAI SANJIBHAI,Dadra & Nagar Haveli,BNP,0,12th Pass,"Rs 2,86,19,160
~ 2 Crore+","Rs 12,96,271
~ 12 Lacs+"
136,SHINGADA DAMODAR BARKU,Dahanu,INC,0,10th Pass,"Rs 86,57,109
~ 86 Lacs+","Rs 0
~"
137,PATEL DAHYABHAI VALLABHBHAI,Daman And Diu,INC,1,12th Pass,"Rs 5,47,87,351
~ 5 Crore+","Rs 66,40,008
~ 66 Lacs+"
138,CHANDRABHAN BHAIYA,Damoh,BJP,0,8th Pass,"Rs 1,03,48,557
~ 1 Crore+","Rs 3,25,874
~ 3 Lacs+"
139,MD. ALI ASHRAF FATMI,Darbhanga,RJD,0,Post Graduate,"Rs 20,71,240
~ 20 Lacs+","Rs 5,45,183
~ 5 Lacs+"
140,Dawa Narbula,Darjeeling,INC,0,Post Graduate,"Rs 70,65,000
~ 70 Lacs+","Rs 2,00,000
~ 2 Lacs+"
141,G.M. SIDDESWARA,Davangere,BJP,0,10th Pass,"Rs 5,02,82,989
~ 5 Crore+","Rs 0
~"
142,DHARMENDRA PRADHAN,Deogarh,BJP,0,Post Graduate,"Rs 4,76,756
~ 4 Lacs+","Rs 3,06,250
~ 3 Lacs+"
143,MOHAN SINGH,Deoria,SP,0,Not Given,"Rs 84,68,000
~ 84 Lacs+","Rs 1,50,000
~ 1 Lacs+"
144,CHANDRA SHEKHAR DUBEY,Dhanbad,INC,0,10th Pass,"Rs 1,02,50,582
~ 1 Crore+","Rs 3,23,838
~ 3 Lacs+"
145,VARMA RATILAL KALIDAS,Dhandhuka,BJP,0,Post Graduate,"Rs 79,00,277
~ 79 Lacs+","Rs 38,81,919
~ 38 Lacs+"
146,CHHATAR SINGH DARBAR,Dhar,BJP,1,Post Graduate,"Rs 28,85,302
~ 28 Lacs+","Rs 2,71,133
~ 2 Lacs+"
147,PRALHAD JOSHI,Dharwad North,BJP,4,Graduate,"Rs 77,60,188
~ 77 Lacs+","Rs 3,25,87,745
~ 3 Crore+"
148,KUNNUR MANJUNATH CHANNAPPA,Dharwad South,BJP,0,Post Graduate,"Rs 1,28,62,400
~ 1 Crore+","Rs 7,30,000
~ 7 Lacs+"
149,TATHAGATA SATAPATHY,Dhenkanal,BJD,5,Others,"Rs 27,75,930
~ 27 Lacs+","Rs 0
~"
150,ANWAR HUSSAIN,Dhubri,INC,0,Graduate Professional,"Rs 5,58,467
~ 5 Lacs+","Rs 2,25,000
~ 2 Lacs+"
151,CHAURE BAPU HARI,Dhule,INC,1,Graduate,"Rs 30,39,824
~ 30 Lacs+","Rs 0
~"
152,Samik Lahiri,Diamond Harbour,CPM,0,Graduate,"Rs 2,32,000
~ 2 Lacs+","Rs 0
~"
153,SARBANANDA SONOWAL,Dibrugarh,AGP,0,Graduate Professional,"Rs 20,38,397
~ 20 Lacs+","Rs 7,58,854
~ 7 Lacs+"
154,"CHITTHAN, N. S. V.",Dindigul,INC,0,Graduate,"Rs 1,32,47,227
~ 1 Crore+","Rs 8,75,536
~ 8 Lacs+"
155,KATARA BABUBHAI KHIMABHAI,Dohad,BJP,0,Graduate,"Rs 7,00,000
~ 7 Lacs+","Rs 1,09,751
~ 1 Lacs+"
156,MOHD. MUQUEEM,Domariaganj,BSP,2,10th Pass,"Rs 49,02,000
~ 49 Lacs+","Rs 0
~"
157,Amitava Nandy,Dum Dum,CPM,0,12th Pass,"Rs 29,35,137
~ 29 Lacs+","Rs 0
~"
158,SHIBU SOREN,Dumka,JMM,4,10th Pass,"Rs 37,76,022
~ 37 Lacs+","Rs 80,13,462
~ 80 Lacs+"
159,TARACHAND SAHU,Durg,BJP,0,Post Graduate,"Rs 32,05,175
~ 32 Lacs+","Rs 10,60,847
~ 10 Lacs+"
160,Sunil Khan,Durgapur,CPM,0,Graduate,"Rs 27,96,700
~ 27 Lacs+","Rs 0
~"
161,SANDEEP DIKSHIT,East Delhi,INC,0,Post Graduate,"Rs 47,64,901
~ 47 Lacs+","Rs 2,46,779
~ 2 Lacs+"
162,KAVURU SAMBA SIVA RAO,Eluru,INC,0,Not Given,"Rs 11,78,98,221
~ 11 Crore+","Rs 1,91,621
~ 1 Lacs+"
163,ANNASAHEB M. K. PATIL,Erandol,BJP,0,Post Graduate,"Rs 44,92,440
~ 44 Lacs+","Rs 9,44,685
~ 9 Lacs+"
164,DR. SEBASTIAN PAUL,Ernakulam,IND,0,Doctorate,"Rs 29,93,000
~ 29 Lacs+","Rs 7,64,304
~ 7 Lacs+"
165,KU. DEVENDRA SINGH YADAV,Etah,SP,0,Doctorate,"Rs 11,78,88,469
~ 11 Crore+","Rs 16,200
~ 16 Thou+"
166,RAGHURAJ SINGH SHAKYA,Etawah,SP,0,Post Graduate,"Rs 19,24,170
~ 19 Lacs+","Rs 0
~"
167,MITRASEN,Faizabad,BSP,27,12th Pass,"Rs 53,80,516
~ 53 Lacs+","Rs 3,18,855
~ 3 Lacs+"
168,AVTAR SINGH BHADANA,Faridabad,INC,0,8th Pass,"Rs 97,63,648
~ 97 Lacs+","Rs 0
~"
169,SUKHBIR SINGH BADAL,Faridkot,SAD,1,Post Graduate,"Rs 13,38,11,603
~ 13 Crore+","Rs 1,73,59,781
~ 1 Crore+"
170,CHANDRA BHUSHAN SINGH (MUNNOO BABU),Farrukhabad,SP,0,Post Graduate,"Rs 95,94,069
~ 95 Lacs+","Rs 7,68,000
~ 7 Lacs+"
