Sno,Candidate,Constituency ,Party,Criminal Case,Education,Total Assets,Liabilities
341,ALEMAO CHURCHIL BRAZ,Mormugao,INC,1,12th Pass,"Rs 86,75,904
~ 86 Lacs+","Rs 81,72,004
~ 81 Lacs+"
342,AKHILES PRASAD SINGH,Motihari,RJD,0,Post Graduate,"Rs 36,69,358
~ 36 Lacs+","Rs 0
~"
343,LONAPPAN NAMBADAN,Mukundapuram,CPM,0,Others,"Rs 19,30,115
~ 19 Lacs+","Rs 0
~"
344,GOVINDA,Mumbai North,INC,1,Graduate,"Rs 14,52,98,405
~ 14 Crore+","Rs 2,50,00,000
~ 2 Crore+"
345,EKNATH M. GAIKWAD,Mumbai North Central,INC,0,10th Pass,"Rs 20,45,861
~ 20 Lacs+","Rs 0
~"
346,KAMAT GURUDAS,Mumbai North East,INC,0,Graduate Professional,"Rs 3,38,94,725
~ 3 Crore+","Rs 0
~"
347,SUNIL DUTT,Mumbai North West,INC,1,Graduate,"Rs 20,43,21,510
~ 20 Crore+","Rs 0
~"
348,MOHAN RAWALE,Mumbai South Central,SHS,4,10th Pass,"Rs 55,89,646
~ 55 Lacs+","Rs 1,45,918
~ 1 Lacs+"
349,P. C. THOMAS (PULLOLIL),Muvattupuzha,IFDP,0,Graduate Professional,"Rs 63,92,358
~ 63 Lacs+","Rs 12,32,410
~ 12 Lacs+"
350,CH. MUNAWWAR HASAN,Muzaffarnagar,SP,1,10th Pass,"Rs 42,17,051
~ 42 Lacs+","Rs 0
~"
351,GEORGE FERNANDES,Muzaffarpur,JD(U),0,Others,"Rs 3,39,87,410
~ 3 Crore+","Rs 0
~"
352,C. H. VIJAYASHANKAR,Mysore,BJP,0,Graduate Professional,"Rs 2,63,999
~ 2 Lacs+","Rs 21,750
~ 21 Thou+"
353,Alakesh Das,Nabadwip,CPM,0,Post Graduate,"Rs 2,78,876
~ 2 Lacs+","Rs 18,382
~ 18 Thou+"
354,W. WANGYUH,Nagaland,NPF,0,Post Graduate,"Rs 21,47,000
~ 21 Lacs+","Rs 0
~"
355,"VIJAYAN, A. K. S.",Nagapattinam,DMK,0,12th Pass,"Rs 31,91,000
~ 31 Lacs+","Rs 10,13,614
~ 10 Lacs+"
356,DR.MANDA JAGANNATH,Nagarkurnool,TDP,0,Post Graduate,"Rs 65,45,314
~ 65 Lacs+","Rs 23,39,000
~ 23 Lacs+"
357,BHANWAR SINGH DANGAWAS,Nagaur,BJP,0,12th Pass,"Rs 13,03,714
~ 13 Lacs+","Rs 0
~"
358,BELLARMIN. A. V.,Nagercoil,CPM,0,Post Graduate,"Rs 30,76,650
~ 30 Lacs+","Rs 0
~"
359,VILAS MUTTEMWAR,Nagpur,INC,0,Graduate,"Rs 1,00,20,540
~ 1 Crore+","Rs 28,98,977
~ 28 Lacs+"
360,K. C. SINGH BABA,Nainital,INC,0,12th Pass,"Rs 2,37,08,052
~ 2 Crore+","Rs 29,06,552
~ 29 Lacs+"
361,NITISH KUMAR,Nalanda,JD(U),0,Graduate,"Rs 43,89,206
~ 43 Lacs+","Rs 6,72,674
~ 6 Lacs+"
362,SURAVARAM SUDHAKAR REDDY,Nalgonda,CPI,1,Graduate Professional,"Rs 19,90,000
~ 19 Lacs+","Rs 9,62,600
~ 9 Lacs+"
363,S. P. Y. REDDY,Nandyal,INC,0,Graduate Professional,"Rs 6,46,46,900
~ 6 Crore+","Rs 1,33,74,000
~ 1 Crore+"
364,MEKAPATI RAJAMOHAN REDDY,Narasaraopet,INC,0,Graduate Professional,"Rs 6,39,61,169
~ 6 Crore+","Rs 0
~"
365,PINGALE DEVIDAS ANANDRAO,Nashik,NCP,1,10th Pass,"Rs 1,97,57,718
~ 1 Crore+","Rs 56,07,433
~ 56 Lacs+"
366,VIRCHANDRA PASWAN,Nawada,RJD,0,Post Graduate,"Rs 17,97,522
~ 17 Lacs+","Rs 1,35,728
~ 1 Lacs+"
367,PANABAKA LAKSHMI,Nellore,INC,0,Post Graduate,"Rs 53,95,726
~ 53 Lacs+","Rs 0
~"
368,AJAY MAKAN,New Delhi,INC,1,Post Graduate,"Rs 3,02,34,158
~ 3 Crore+","Rs 6,50,000
~ 6 Lacs+"
369,PRABHU R.,Nilgiris,INC,0,Post Graduate,"Rs 10,24,40,054
~ 10 Crore+","Rs 0
~"
370,MADHU GOUD YASKHI,Nizamabad,INC,0,Post Graduate,"Rs 14,27,18,537
~ 14 Crore+","Rs 3,25,60,000
~ 3 Crore+"
371,RAJEN GOHAIN,Nowgong,BJP,0,Graduate Professional,"Rs 36,79,236
~ 36 Lacs+","Rs 3,36,600
~ 3 Lacs+"
372,PARSURAM MAJHI,Nowrangpur,BJP,0,Graduate,"Rs 7,67,000
~ 7 Lacs+","Rs 25,000
~ 25 Thou+"
373,SREENIVASULU REDDY MAGUNTA,Ongole,INC,2,Graduate,"Rs 14,17,68,943
~ 14 Crore+","Rs 0
~"
374,NARHIRE KALPANA RAMESH,Osmanabad,SHS,5,10th Pass,"Rs 32,34,992
~ 32 Lacs+","Rs 5,10,681
~ 5 Lacs+"
375,S. AJAYA KUMAR,Ottapalam,CPM,3,12th Pass,"Rs 10,83,876
~ 10 Lacs+","Rs 7,80,000
~ 7 Lacs+"
376,SAJJAN KUMAR,Outer Delhi,INC,1,Literate,"Rs 13,06,055
~ 13 Lacs+","Rs 5,20,477
~ 5 Lacs+"
377,MANI CHARENAMEI,Outer Manipur,IND,0,Graduate,"Rs 2,05,000
~ 2 Lacs+","Rs 0
~"
378,BALESHWAR YADAV,Padrauna,National Loktantrik Party,0,Graduate,"Rs 69,07,100
~ 69 Lacs+","Rs 5,00,000
~ 5 Lacs+"
379,MANOJ KUMAR,Palamau,RJD,0,Graduate,"Rs 18,25,000
~ 18 Lacs+","Rs 1,25,000
~ 1 Lacs+"
380,N. N. KRISHNADAS,Palghat,CPM,4,Graduate,"Rs 15,03,105
~ 15 Lacs+","Rs 0
~"
381,PUSP JAIN,Pali,BJP,0,Graduate Professional,"Rs 16,54,429
~ 16 Lacs+","Rs 2,22,611
~ 2 Lacs+"
382,SHRIPAD YESSO NAIK,Panaji,BJP,0,Graduate,"Rs 45,37,329
~ 45 Lacs+","Rs 5,98,785
~ 5 Lacs+"
383,ATHAWALE RAMDAS BANDU,Pandharpur,RPI(A),0,Graduate,"Rs 26,56,172
~ 26 Lacs+","Rs 0
~"
384,Gurudas Dasgupta,Panskura,CPI,0,Post Graduate,"Rs 36,68,778
~ 36 Lacs+","Rs 0
~"
385,TUKARAM GANPATRAO RENGE PATIL,Parbhani,SHS,13,Post Graduate,"Rs 60,60,000
~ 60 Lacs+","Rs 19,50,000
~ 19 Lacs+"
386,KISHORE CHANDRA SURYANARAYANA DEO VYRICHERLA,Parvathipuram,INC,0,Post Graduate,"Rs 22,06,78,000
~ 22 Crore+","Rs 0
~"
387,KANODIA MAHESHKUMAR MITHABHAI,Patan,BJP,0,Literate,"Rs 1,18,42,032
~ 1 Crore+","Rs 8,03,206
~ 8 Lacs+"
388,PRENEET KAUR,Patiala,INC,0,Graduate,"Rs 41,28,67,297
~ 41 Crore+","Rs 0
~"
389,RAM KRIPAL YADAV,Patna,RJD,0,Graduate,"Rs 14,00,031
~ 14 Lacs+","Rs 2,04,942
~ 2 Lacs+"
390,G. VENKAT SWAMY,Peddapalli,INC,0,10th Pass,"Rs 1,94,64,700
~ 1 Crore+","Rs 0
~"
391,"RAJA, A.",Perambalur,DMK,0,Graduate Professional,"Rs 57,59,538
~ 57 Lacs+","Rs 13,31,049
~ 13 Lacs+"
392,AARON RASHID J. M.,Periyakulam,INC,0,10th Pass,"Rs 15,20,98,686
~ 15 Crore+","Rs 22,53,320
~ 22 Lacs+"
393,CHARANJIT SINGH ATWAL,Phillaur,SAD,0,Graduate Professional,"Rs 1,64,69,765
~ 1 Crore+","Rs 7,10,013
~ 7 Lacs+"
394,SUGRIB SINGH,Phulbani,BJD,0,Graduate,"Rs 8,69,000
~ 8 Lacs+","Rs 3,26,000
~ 3 Lacs+"
395,ATIQUE AHAMAD,Phulpur,SP,36,8th Pass,"Rs 3,37,04,071
~ 3 Crore+","Rs 0
~"
396,MANEKA GANDHI,Pilibhit,BJP,0,12th Pass,"Rs 6,67,63,700
~ 6 Crore+","Rs 0
~"
397,"KRISHNAN, DR. C",Pollachi,MDMK,0,Graduate Professional,"Rs 26,86,691
~ 26 Lacs+","Rs 2,00,000
~ 2 Lacs+"
398,RAMADASS. M.,Pondicherry,PMK,0,Doctorate,"Rs 32,17,000
~ 32 Lacs+","Rs 2,47,304
~ 2 Lacs+"
399,PATEL HARILAL MADHAVJIBHAI (HARIBHAI PATEL),Porbandar,BJP,0,8th Pass,"Rs 70,41,540
~ 70 Lacs+","Rs 17,38,534
~ 17 Lacs+"
400,AKSHAY PRATAP SINGH (GOPAL JI),Pratapgarh,SP,26,Literate,"Rs 21,69,847
~ 21 Lacs+","Rs 0
~"
401,"REGUPATHY, S.",Pudukkottai,DMK,2,Graduate Professional,"Rs 1,59,38,121
~ 1 Crore+","Rs 13,26,075
~ 13 Lacs+"
402,KALMADI SURESH,Pune,INC,1,Graduate,"Rs 3,99,47,625
~ 3 Crore+","Rs 17,00,000
~ 17 Lacs+"
403,BRAJA KISHORE TRIPATHY,Puri,BJD,0,Post Graduate,"Rs 41,97,384
~ 41 Lacs+","Rs 0
~"
404,UDAY SINGH,Purnea,BJP,0,12th Pass,"Rs 3,06,54,143
~ 3 Crore+","Rs 7,31,440
~ 7 Lacs+"
405,Bir Singh Mahato,Purulia,AIFB,2,Post Graduate,"Rs 14,74,102
~ 14 Lacs+","Rs 3,14,287
~ 3 Lacs+"
406,P. RAJENDRAN,Quilon,CPM,0,Post Graduate,"Rs 22,42,499
~ 22 Lacs+","Rs 2,27,054
~ 2 Lacs+"
407,SONIA GANDHI,Rae Bareli,INC,0,Others,"Rs 85,68,694
~ 85 Lacs+","Rs 0
~"
408,A.VENKATESH NAIK,Raichur,INC,0,12th Pass,"Rs 56,15,514
~ 56 Lacs+","Rs 4,47,987
~ 4 Lacs+"
409,Priya Ranjan Dasmunsi,Raiganj,INC,0,Post Graduate,"Rs 75,04,280
~ 75 Lacs+","Rs 30,00,000
~ 30 Lacs+"
410,VISHNUDEO SAI,Raigarh,BJP,0,12th Pass,"Rs 8,99,500
~ 8 Lacs+","Rs 70,546
~ 70 Thou+"
411,RAMESH BAIS,Raipur,BJP,0,12th Pass,"Rs 96,90,604
~ 96 Lacs+","Rs 0
~"
412,ARUNA KUMAR VUNDAVALLI,Rajahmundry,INC,2,Graduate Professional,"Rs 2,34,31,318
~ 2 Crore+","Rs 8,81,017
~ 8 Lacs+"
413,ANNAYYAGARI SAI PRATHAP,Rajampet,INC,0,12th Pass,"Rs 97,09,190
~ 97 Lacs+","Rs 11,60,909
~ 11 Lacs+"
414,SURESH PRABHAKAR PRABHU,Rajapur,SHS,1,Doctorate,"Rs 45,20,169
~ 45 Lacs+","Rs 0
~"
415,LAKSHMAN SINGH,Rajgarh,BJP,0,Graduate,"Rs 4,90,14,404
~ 4 Crore+","Rs 21,893
~ 21 Thou+"
416,DR. KATHIRIA VALLABHBHAI RAMJIBHAI,Rajkot,BJP,0,Graduate Professional,"Rs 79,71,781
~ 79 Lacs+","Rs 1,10,729
~ 1 Lacs+"
417,HEMLAL MURMU,Rajmahal,JMM,1,Not Given,"Rs 16,80,400
~ 16 Lacs+","Rs 0
~"
418,PRADEEP GANDHI,Rajnandgaon,BJP,0,Graduate,"Rs 16,99,397
~ 16 Lacs+","Rs 4,86,000
~ 4 Lacs+"
419,BHAVANI RAJENTHIRAN. M. S. K.,Ramanathapuram,DMK,0,Post Graduate,"Rs 1,51,50,840
~ 1 Crore+","Rs 5,00,000
~ 5 Lacs+"
420,P. JAYA PRADA NAHATA,Rampur,SP,0,12th Pass,"Rs 8,42,75,000
~ 8 Crore+","Rs 3,00,000
~ 3 Lacs+"
421,MOHITE SUBODH BABURAO,Ramtek,SHS,4,Graduate Professional,"Rs 44,72,038
~ 44 Lacs+","Rs 0
~"
422,SUBODH KANT SAHAY,Ranchi,INC,0,Graduate,"Rs 1,22,91,253
~ 1 Crore+","Rs 8,29,561
~ 8 Lacs+"
423,RANI. K,Rasipuram,INC,1,Post Graduate,"Rs 1,37,75,000
~ 1 Crore+","Rs 20,77,289
~ 20 Lacs+"
424,ANANT GEETE,Ratnagiri,SHS,0,12th Pass,"Rs 55,18,754
~ 55 Lacs+","Rs 12,00,000
~ 12 Lacs+"
425,CHANDRAMANI TRIPATHI,Rewa,BJP,1,Graduate Professional,"Rs 10,62,399
~ 10 Lacs+","Rs 40,000
~ 40 Thou+"
426,LALCHANDRA,Robertsganj,BSP,0,Literate,"Rs 88,030
~ 88 Thou+","Rs 1,65,515
~ 1 Lacs+"
427,BHUPINDER SINGH,Rohtak,INC,1,Graduate Professional,"Rs 94,86,571
~ 94 Lacs+","Rs 4,57,151
~ 4 Lacs+"
428,SUKHDEV SINGH LIBRA,Ropar,SAD,0,10th Pass,"Rs 1,03,32,944
~ 1 Crore+","Rs 0
~"
429,RAM CHANDRA PASWAN,Rosera,LJNSP,0,10th Pass,"Rs 42,04,913
~ 42 Lacs+","Rs 0
~"
430,MADHUSUDAN MISTRY,Sabarkantha,INC,0,Post Graduate,"Rs 18,26,173
~ 18 Lacs+","Rs 1,25,000
~ 1 Lacs+"
431,VIRENDRA KUMAR,Sagar,BJP,0,Post Graduate,"Rs 14,29,786
~ 14 Lacs+","Rs 0
~"
432,RASHEED MASOOD,Saharanpur,SP,1,Post Graduate,"Rs 2,61,75,490
~ 2 Crore+","Rs 30,50,977
~ 30 Lacs+"
433,RANJEET RANJAN,Saharsa,LJNSP,0,12th Pass,"Rs 25,49,000
~ 25 Lacs+","Rs 0
~"
434,TUFANI SAROJ,Saidpur,SP,0,Graduate,"Rs 45,58,332
~ 45 Lacs+","Rs 0
~"
435,THANGKABALU K. V.,Salem,INC,0,Post Graduate,"Rs 5,61,85,835
~ 5 Crore+","Rs 0
~"
436,HARIKEVAL PRASAD,Salempur,SP,0,Not Given,"Rs 30,37,000
~ 30 Lacs+","Rs 0
~"
437,MAHAVEER BHAGORA,Salumber,BJP,1,Post Graduate,"Rs 30,26,777
~ 30 Lacs+","Rs 0
~"
438,ALOK KUMAR MEHTA,Samastipur,RJD,0,Graduate Professional,"Rs 67,94,434
~ 67 Lacs+","Rs 0
~"
439,PRASANNA ACHARYA,Sambalpur,BJD,0,Graduate Professional,"Rs 1,01,84,422
~ 1 Crore+","Rs 8,74,591
~ 8 Lacs+"
440,PRO. RAM GOPAL YADAV,Sambhal,SP,0,Doctorate,"Rs 79,53,884
~ 79 Lacs+","Rs 4,75,000
~ 4 Lacs+"
441,Patil Prakashbapu Vasantdada,Sangli,INC,0,Graduate,"Rs 3,56,35,000
~ 3 Crore+","Rs 0
~"
442,SUKHDEV SINGH DHINDSA,Sangrur,SAD,0,Graduate,"Rs 1,39,84,341
~ 1 Crore+","Rs 0
~"
443,GUHARAM AJGALLE,Sarangarh,BJP,0,Graduate Professional,"Rs 17,68,900
~ 17 Lacs+","Rs 0
~"
444,MEIRA KUMAR,Sasaram,INC,0,Post Graduate,"Rs 2,89,56,730
~ 2 Crore+","Rs 36,00,000
~ 36 Lacs+"
445,LAXMANRAO PANDURANG JADHAV (PATIL),Satara,NCP,0,10th Pass,"Rs 99,25,739
~ 99 Lacs+","Rs 50,403
~ 50 Thou+"
446,GANESH SINGH,Satna,BJP,2,Post Graduate,"Rs 25,48,143
~ 25 Lacs+","Rs 2,36,038
~ 2 Lacs+"
447,NAMO NARAIN,Sawai Madhopur,INC,0,Post Graduate,"Rs 52,34,897
~ 52 Lacs+","Rs 4,00,000
~ 4 Lacs+"
448,M. ANJAN KUMAR YADAV,Secunderabad,INC,0,12th Pass,"Rs 42,50,700
~ 42 Lacs+","Rs 8,10,500
~ 8 Lacs+"
449,NEETA PATERIYA,Seoni,BJP,0,Post Graduate,"Rs 32,39,103
~ 32 Lacs+","Rs 41,965
~ 41 Thou+"
450,Santasri Chatterjee,Serampore,CPM,0,Graduate,"Rs 16,98,395
~ 16 Lacs+","Rs 0
~"
451,ILIYAS AZMI,Shahabad,BSP,0,Graduate,"Rs 1,96,83,626
~ 1 Crore+","Rs 0
~"
452,DALPAT SINGH PARASTE,Shahdol,BJP,0,Graduate,"Rs 68,11,000
~ 68 Lacs+","Rs 0
~"
453,KUNWAR JITIN PRASAD,Shahjahanpur,INC,0,Post Graduate,"Rs 1,71,13,691
~ 1 Crore+","Rs 6,52,823
~ 6 Lacs+"
454,THAWAR CHAND GEHLOT,Shajapur,BJP,0,Graduate,"Rs 20,16,554
~ 20 Lacs+","Rs 0
~"
455,SITARAM SINGH,Sheohar,RJD,0,Graduate,"Rs 46,24,000
~ 46 Lacs+","Rs 0
~"
456,PATY RIPPLE KYNDIAH,Shillong,INC,0,Graduate,"Rs 40,78,978
~ 40 Lacs+","Rs 0
~"
457,S. BANGARAPPA,Shimoga,BJP,2,Graduate,"Rs 3,33,02,318
~ 3 Crore+","Rs 82,98,000
~ 82 Lacs+"
458,DESHMUKH SUBHASH SURESHCHANDRA,Sholapur,BJP,0,10th Pass,"Rs 3,74,95,282
~ 3 Crore+","Rs 64,522
~ 64 Thou+"
459,SARVEY SATHYANARAYANA,Siddipet,INC,0,Graduate Professional,"Rs 11,10,000
~ 11 Lacs+","Rs 4,80,000
~ 4 Lacs+"
460,CHANDRAPRATAP SINGH,Sidhi,BJP,0,12th Pass,"Rs 7,95,619
~ 7 Lacs+","Rs 1,26,764
~ 1 Lacs+"
461,SUBHASH MEHARIA,Sikar,BJP,0,Graduate,"Rs 1,32,67,020
~ 1 Crore+","Rs 5,34,287
~ 5 Lacs+"
462,NAKUL DAS RAI,Sikkim,SDF,0,Graduate,"Rs 68,90,766
~ 68 Lacs+","Rs 14,94,475
~ 14 Lacs+"
463,SONTOSH MOHAN DEV,Silchar,INC,0,Graduate,"Rs 1,23,56,601
~ 1 Crore+","Rs 1,70,759
~ 1 Lacs+"
464,DHANI RAM SHANDIL,Simla,INC,0,Doctorate,"Rs 92,72,958
~ 92 Lacs+","Rs 958
~ 9 Hund+"
465,BAGUN SUMBRAI,Singhbhum,INC,0,10th Pass,"Rs 45,32,035
~ 45 Lacs+","Rs 2,00,000
~ 2 Lacs+"
466,ATMA SINGH GILL,Sirsa,INC,0,5th Pass,"Rs 13,02,714
~ 13 Lacs+","Rs 2,80,000
~ 2 Lacs+"
467,SITARAM YADAV,Sitamarhi,RJD,2,Graduate Professional,"Rs 48,05,008
~ 48 Lacs+","Rs 4,04,410
~ 4 Lacs+"
468,RAJESH VERMA,Sitapur,BSP,0,Post Graduate,"Rs 48,50,000
~ 48 Lacs+","Rs 10,04,319
~ 10 Lacs+"
469,"CHIDAMBARAM, P.",Sivaganga,INC,0,Post Graduate,"Rs 17,98,61,587
~ 17 Crore+","Rs 0
~"
470,"RAVICHANDRAN, A",Sivakasi,MDMK,0,Graduate,"Rs 30,58,910
~ 30 Lacs+","Rs 0
~"
471,MOHAMMAD SHAHABUDDIN,Siwan,RJD,19,Doctorate,"Rs 34,47,000
~ 34 Lacs+","Rs 4,28,930
~ 4 Lacs+"
472,KISHAN SINGH SANGWAN,Sonepat,BJP,0,Post Graduate,"Rs 77,77,238
~ 77 Lacs+","Rs 8,47,138
~ 8 Lacs+"
473,VIJAY KUMAR MALHOTRA,South Delhi,BJP,0,Doctorate,"Rs 89,88,478
~ 89 Lacs+","Rs 0
~"
474,OMAR ABDULLAH,Srinagar,JKN,0,Graduate,"Rs 1,96,84,236
~ 1 Crore+","Rs 54,998
~ 54 Thou+"
475,KRISHNASWAMY. A,Sriperumbudur,DMK,2,Graduate Professional,"Rs 22,14,854
~ 22 Lacs+","Rs 0
~"
476,MOHD. TAHIR,Sultanpur,BSP,1,12th Pass,"Rs 1,16,697
~ 1 Lacs+","Rs 0
~"
477,JUAL ORAM,Sundargarh,BJP,3,10th Pass,"Rs 57,46,675
~ 57 Lacs+","Rs 8,00,000
~ 8 Lacs+"
478,KASHIRAM RANA,Surat,BJP,0,Graduate Professional,"Rs 76,77,857
~ 76 Lacs+","Rs 0
~"
479,NAND KUMAR SAI,Surguja,BJP,1,Post Graduate,"Rs 31,24,000
~ 31 Lacs+","Rs 6,10,000
~ 6 Lacs+"
480,Seth Lakshman Chandra,Tamluk,CPM,0,Post Graduate,"Rs 8,87,175
~ 8 Lacs+","Rs 0
~"
481,RATTAN SINGH,Tarn Taran,SAD,1,Graduate Professional,"Rs 2,95,16,341
~ 2 Crore+","Rs 0
~"
482,MANABENDRA SHAH,Tehri Garhwal,BJP,0,12th Pass,"Rs 34,75,63,683
~ 34 Crore+","Rs 0
~"
483,BALASHOWRY VALLABHANENI,Tenali,INC,0,Graduate,"Rs 10,32,38,914
~ 10 Crore+","Rs 3,50,000
~ 3 Lacs+"
484,"APPADURAI, M.",Tenkasi,CPI,0,Graduate,"Rs 12,63,017
~ 12 Lacs+","Rs 0
~"
485,MONI KUMAR SUBBA,Tezpur,INC,0,8th Pass,"Rs 18,64,43,565
~ 18 Crore+","Rs 0
~"
486,PARANJAPE PRAKASH VISHVANATH,Thane,SHS,0,Graduate,"Rs 59,05,573
~ 59 Lacs+","Rs 13,82,266
~ 13 Lacs+"
487,PALANIMANICKAM. S. S.,Thanjavur,DMK,0,Graduate Professional,"Rs 35,16,998
~ 35 Lacs+","Rs 5,35,689
~ 5 Lacs+"
488,DHANARAJU. K,Tindivanam,PMK,0,Doctorate,"Rs 26,58,860
~ 26 Lacs+","Rs 0
~"
489,SUBBULAKSHMI JAGADEESAN,Tiruchengode,DMK,0,Graduate Professional,"Rs 87,34,674
~ 87 Lacs+","Rs 0
~"
490,GANESAN. L,Tiruchirappalli,MDMK,2,Graduate Professional,"Rs 19,00,000
~ 19 Lacs+","Rs 0
~"
491,"DHANUSKODI ATHITHAN, R.",Tirunelveli,INC,1,Post Graduate,"Rs 1,63,22,132
~ 1 Crore+","Rs 55,73,213
~ 55 Lacs+"
492,CHINTA MOHAN,Tirupathi,INC,0,Graduate Professional,"Rs 39,82,900
~ 39 Lacs+","Rs 13,25,256
~ 13 Lacs+"
493,"VENUGOPAL, D.",Tiruppattur,DMK,0,8th Pass,"Rs 76,85,000
~ 76 Lacs+","Rs 9,94,803
~ 9 Lacs+"
494,KAILASH MEGHWAL,Tonk,BJP,0,Post Graduate,"Rs 1,09,50,282
~ 1 Crore+","Rs 0
~"
495,C. K. CHANDRAPPAN,Trichur,CPI,0,Graduate,"Rs 88,12,606
~ 88 Lacs+","Rs 0
~"
496,BAJU BAN RIYAN,Tripura East,CPM,0,Graduate,"Rs 11,88,586
~ 11 Lacs+","Rs 0
~"
497,KHAGEN DAS,Tripura West,CPM,0,Post Graduate,"Rs 14,23,083
~ 14 Lacs+","Rs 0
~"
498,S. MALLIKARJUNAIAH,Tumkur,BJP,0,Post Graduate,"Rs 90,90,000
~ 90 Lacs+","Rs 40,000
~ 40 Thou+"
499,PURANO AGITOK SANGMA,Tura,AITC,0,Post Graduate,"Rs 3,50,32,125
~ 3 Crore+","Rs 0
~"
500,CH. LAL SINGH,Udhampur,INC,0,Graduate,"Rs 54,00,000
~ 54 Lacs+","Rs 5,00,000
~ 5 Lacs+"
501,MANORAMA MADHWARAJ,Udupi,BJP,0,Graduate,"Rs 1,37,51,985
~ 1 Crore+","Rs 27,00,000
~ 27 Lacs+"
502,DR. SATYANARAYAN JATIYA,Ujjain,BJP,0,Doctorate,"Rs 27,94,387
~ 27 Lacs+","Rs 0
~"
503,Hannan Mollah,Uluberia,CPM,0,Post Graduate,"Rs 6,21,879
~ 6 Lacs+","Rs 0
~"
504,BRAJESH PATHAK,Unnao,BSP,4,Graduate Professional,"Rs 27,76,872
~ 27 Lacs+","Rs 5,222
~ 5 Thou+"
505,RAGHUBANSH PRASAD SINGH,Vaishali,RJD,0,Doctorate,"Rs 48,71,420
~ 48 Lacs+","Rs 4,81,535
~ 4 Lacs+"
506,DR. RAJESH KUMAR MISHRA,Varanasi,INC,0,Not Given,"Rs 12,41,800
~ 12 Lacs+","Rs 4,00,000
~ 4 Lacs+"
507,"KADER MOHIDEEN, K. M",Vellore,DMK,0,Post Graduate,"Rs 28,00,000
~ 28 Lacs+","Rs 4,50,000
~ 4 Lacs+"
508,SHIVRAJ SINGH,Vidisha,BJP,2,Post Graduate,"Rs 58,14,600
~ 58 Lacs+","Rs 2,87,640
~ 2 Lacs+"
509,JANARDHANA REDDY NEDURUMALLI,Visakhapatnam,INC,0,Graduate Professional,"Rs 1,09,16,531
~ 1 Crore+","Rs 11,212
~ 11 Thou+"
510,Susmita Bauri,Vishnupur,CPM,0,Graduate Professional,"Rs 33,000
~ 33 Thou+","Rs 10,000
~ 10 Thou+"
511,WAGMARE SURESH GANAPAT,Wardha,BJP,0,Graduate,"Rs 4,41,000
~ 4 Lacs+","Rs 4,47,393
~ 4 Lacs+"
512,GAWALI (PATIL) KU. BHAVANA PUNDLIKRAO,Washim,SHS,1,Graduate,"Rs 1,88,08,750
~ 1 Crore+","Rs 7,48,904
~ 7 Lacs+"
513,RATHOD HARISING NASARU,Yavatmal,BJP,0,Graduate,"Rs 38,01,000
~ 38 Lacs+","Rs 9,45,123
~ 9 Lacs+"