name,id,income_rs_crore,expenditure_rs_crore,net_profit_rs_crore,value_rs_crore
"Vodafone Essar Gujarat Ltd",24048,"2,505.66","1,630.70",393.91,2505.6600
"Supreme Industries Ltd",541,"2,503.79","2,135.48",174.97,2503.7900
"Oracle Financial Services Software Ltd",13105,"2,500.81","1,432.56",967.98,2500.8100
"SKF India Ltd",37,"2,499.95","2,146.86",208.49,2499.9500
"Bombay Rayon Fashions Ltd",25777,"2,483.99","1,919.63",226.70,2483.9900
"Gujarat Gas Company Ltd",2255,"2,470.44","2,020.78",273.88,2470.4400
"STCL Ltd",16577,"2,464.20","2,414.10",28.85,2464.2000
"Telco Construction Equipment Company Ltd",20695,"2,458.73","2,259.01",95.20,2458.7300
"Pidilite Industries Ltd",3219,"2,454.15","1,982.09",303.89,2454.1500
"ISGEC Heavy Engineering  Ltd",2167,"2,448.59","2,273.38",75.12,2448.5900
"J K Cements Ltd",17136,"2,427.39","2,116.40",64.05,2427.3900
"Suguna Poultry Farm Ltd",24986,"2,423.30","2,300.05",21.60,2423.3000
"Jyoti Structures Ltd",1196,"2,392.24","2,067.85",110.91,2392.2400
"Uflex Ltd",1474,"2,389.58","1,759.32",282.02,2389.5800
"Tulip Telecom Ltd",16012,"2,381.22","1,715.78",309.54,2381.2200
"Essel Mining & Industries Ltd",20185,"2,377.90","1,192.28",688.79,2377.9000
"Birla Corporation Ltd",77,"2,372.69","1,894.13",239.21,2372.6900
"Colgate-Palmolive (India) Ltd",118,"2,357.21","1,799.73",402.58,2357.2100
"Larsen & Toubro Infotech Ltd",18105,"2,354.90","1,920.52",312.92,2354.9000
"Apollo Hospitals Enterprise Ltd",636,"2,353.33","1,955.02",181.72,2353.3300
"Reliance Telecom Ltd",13329,"2,325.14","1,862.89",33.28,2325.1400
"Jayaswal Neco Industries Ltd",4506,"2,320.09","1,944.15",98.15,2320.0900
"Muthoot Finance Ltd",24769,"2,315.87","1,536.69",494.18,2315.8700
"Sterlite Technologies Ltd",21331,"2,305.95","2,024.34",140.53,2305.9500
"Syngenta India Ltd",8033,"2,297.98","2,029.25",151.66,2297.9800
"Patni Computer Systems Ltd",12804,"2,297.63","1,594.79",499.78,2297.6300
"Surya Roshni Ltd",445,"2,293.54","2,111.61",66.74,2293.5400
"Enercon (India) Ltd",20156,"2,290.12","2,066.24",77.26,2290.1200
"Housing & Urban Development Corporation Ltd",12197,"2,278.88","1,445.99",550.03,2278.8800
"Polycab Wires Private Ltd",26603,"2,273.57","2,096.16",64.81,2273.5700
"Jubilant Life Sciences Ltd",592,"2,261.78","1,779.91",279.63,2261.7800
"Bharti Cellular Ltd(merged)",12234,"2,259.28","1,703.75",137.48,2259.2800
"Zee Entertainment Enterprises Ltd",3126,"2,253.93","1,386.40",576.42,2253.9300
"Reckitt Benckiser (I) Ltd",475,"2,251.91","1,806.00",338.57,2251.9100
"Jindal Iron & Steel Company Ltd (Merged)",313,"2,239.49","1,771.85",242.70,2239.4900
"JVL Agro Industries Ltd",3139,"2,232.98","2,146.84",50.02,2232.9800
"Sadbhav Engineering Ltd",22137,"2,228.67","1,971.04",119.58,2228.6700
"Jai Balaji Industries Ltd",24619,"2,212.12","1,859.93",73.95,2212.1200
"Adani Power Ltd",17808,"2,211.62",890.65,523.75,2211.6200
"Bayer CropScience Ltd",62,"2,194.42","1,953.98",131.54,2194.4200
"Berger Paints India Ltd",64,"2,194.05","1,940.77",148.31,2194.0500
"N K Industries Ltd",4144,"2,183.16","2,192.07",-12.12,2183.1600
"Welspun India Ltd",2227,"2,176.97","2,021.32",-99.78,2176.9700
"Unitech Ltd",986,"2,172.18","1,108.12",510.08,2172.1800
"Brooke Bond Lipton India Ltd (Merged)",94,"2,165.87","1,954.12",126.47,2165.8700
"Tamil Nadu Civil Supplies Corporation Ltd",18569,"2,157.55","2,132.36",1.70,2157.5500
"Procter & Gamble Home Products Ltd",18683,"2,155.53","1,851.17",191.11,2155.5300
"ACME Tele Power Ltd",28472,"2,140.03","1,600.73",505.38,2140.0300
"Finolex Cables Ltd",171,"2,125.41","1,960.31",86.78,2125.4100
"Sakthi Sugars Ltd",771,"2,115.63","2,020.93",-99.86,2115.6300
"Micro Inks Ltd",2957,"2,099.16","1,800.35",136.84,2099.1600
"ITI Ltd",2334,"2,093.59","2,349.43",-357.75,2093.5900
"Gujarat Ambuja Exports Ltd",2469,"2,074.61","1,917.59",94.10,2074.6100
"Bharti Infotel Ltd(merged)",13963,"2,060.19","1,444.40",340.54,2060.1900
"Balmer Lawrie & Company Ltd",732,"2,060.04","1,862.37",121.09,2060.0400
"Intas Pharmaceuticals Ltd",19969,"2,038.60","1,661.94",281.52,2038.6000
"National Housing Bank",12193,"2,037.69","1,547.63",278.93,2037.6900
"Mawana Sugars Ltd",2338,"2,037.34","1,906.02",-58.62,2037.3400
"NKG Infrastructure Ltd",27458,"2,034.88","1,824.77",106.53,2034.8800
"Alcatel-Lucent India Ltd",25276,"2,032.36","1,938.28",18.92,2032.3600
"Orient Paper & Industries Ltd",420,"2,031.10","1,698.33",143.10,2031.1000
"Tecpro Systems Ltd",28245,"2,028.96","1,685.56",136.22,2028.9600
"RSWM Ltd",700,"2,023.28","1,683.17",122.96,2023.2800
"Raymond Ltd",474,"2,021.41","1,699.71",56.35,2021.4100
"Hewlett-Packard Globalsoft Pvt Ltd",1178,"2,016.49","1,696.66",172.04,2016.4900
"Balkrishna Industries Ltd",55,"2,016.28","1,645.68",185.66,2016.2800
"Nakoda Ltd",2603,"2,016.27","1,894.01",49.42,2016.2700
"MIRC Electronics Ltd",2805,"2,016.22","1,941.70",27.29,2016.2200
"Ipca Laboratories Ltd",3617,"2,015.73","1,595.42",255.37,2015.7300
"Soma Enterprise Ltd",22197,"2,013.08","1,613.45",125.50,2013.0800
"Mahindra & Mahindra Financial Services Ltd",16795,"2,012.58","1,294.34",463.11,2012.5800
"Vijai Electricals Ltd",14906,"2,011.41","1,805.85",18.45,2011.4100
"Consolidated Construction Consortium Ltd",25008,"2,010.12","1,901.54",3.77,2010.1200
"Bombay Dyeing & Manufacturing Company Ltd",85,"2,007.66","1,741.10",21.39,2007.6600
"Adani Ports & Special Economic Zone Ltd",21281,"2,005.30",575.08,986.16,2005.3000
"Kerala State Beverages Mfg & Marketing Corpn Ltd",29734,"1,999.27","1,973.37",13.68,1999.2700
"International Tractors Ltd",24985,"1,994.65","1,606.74",245.68,1994.6500
"Tata Global Beverages Ltd",557,"1,994.27","1,712.71",180.59,1994.2700
"Supreme Petrochem Ltd",3608,"1,990.42","1,825.62",87.70,1990.4200
"Tech Pacific (India) Ltd",22933,"1,987.69","1,938.65",25.06,1987.6900
"Amtek Auto Ltd",1255,"1,985.83","1,331.62",81.82,1985.8300
"Finolex Industries Ltd",1252,"1,975.17","1,726.12",76.17,1975.1700
"SJVN Ltd",12076,"1,972.13",213.36,912.13,1972.1300
"Kirloskar Brothers Ltd",336,"1,971.46","1,796.76",61.36,1971.4600
"Sun TV Network Ltd",15228,"1,970.50",365.82,772.22,1970.5000
"MSTC Ltd",2291,"1,963.49","1,710.34",99.16,1963.4900
"Tata Power Trading Company Ltd",25654,"1,957.23","1,943.99",9.15,1957.2300
"Mindtree Ltd",20581,"1,953.60","1,621.90",218.70,1953.6000
"Southern Petrochemicals Industries Corporation Ltd",525,"1,951.28","1,754.84",81.98,1951.2800
"Ruchi Worldwide Ltd",22388,"1,948.69","1,931.01",7.94,1948.6900
"Shoppers Stop Ltd",19961,"1,945.68","1,786.31",75.18,1945.6800
"Moser Baer (India) Ltd",1313,"1,939.83","1,753.01",-400.71,1939.8300
"Rajasthan Rajya Vidyut Prasaran Nigam Ltd",23003,"1,934.75","1,242.00",42.14,1934.7500
"Reliance Capital Ltd",1866,"1,934.01","1,718.92",229.27,1934.0100
"Acer India Pvt Ltd",20697,"1,931.52","1,909.98",21.54,1931.5200
"Lakshmi Machine Works Ltd",346,"1,921.71","1,576.88",165.98,1921.7100
"Maharashtra Seamless Ltd",2191,"1,902.16","1,386.79",341.66,1902.1600
"Chemplast Sanmar Ltd",2038,"1,898.67","1,708.98",-42.19,1898.6700
"Parle Products Pvt Ltd",16277,"1,895.29","1,847.68",8.01,1895.2900
"Hero Cycles Ltd",12606,"1,892.47","1,510.94",291.56,1892.4700
"Surya Pharmaceutical Ltd",23921,"1,882.59","1,616.58",100.16,1882.5900
"HSBC Electronic Data Processing India Ltd",21126,"1,882.35","1,380.48",415.57,1882.3500
"Torrent Pharmaceuticals Ltd",3616,"1,876.15","1,421.25",290.86,1876.1500
"Liberty Oil Mills Ltd",2943,"1,870.54","1,837.31",12.08,1870.5400
"Sew Infrastructure Ltd",26353,"1,867.02","1,594.50",131.23,1867.0200
"Alstom Projects India Ltd",20944,"1,866.19","1,563.39",168.90,1866.1900
"Sobha Developers Ltd",27443,"1,861.94","1,421.75",200.85,1861.9400
"Sundram Fasteners Ltd",539,"1,842.04","1,610.67",105.18,1842.0400
"Electrosteel Castings Ltd",154,"1,832.90","1,485.01",154.63,1832.9000
"ABG Shipyard Ltd",14852,"1,829.30","1,289.05",188.80,1829.3000
"Atul Ltd",43,"1,829.05","1,619.82",88.11,1829.0500
"Savex Computers Ltd",16706,"1,822.74","1,768.33",26.00,1822.7400
"Sterling Biotech Ltd",1896,"1,819.63","1,269.15",19.13,1819.6300
"Godavari Fertilizers & Chemicals Ltd(merged)",838,"1,819.28","1,702.33",49.29,1819.2800
"MSPL Ltd",25578,"1,807.79","1,543.49",189.13,1807.7900
"KRBL Ltd",5991,"1,805.69","1,565.09",115.51,1805.6900
"Wockhardt Ltd",8021,"1,803.60","1,670.99",-132.06,1803.6000
"Amara Raja Batteries Ltd",2110,"1,799.03","1,533.93",148.10,1799.0300
"Cholamandalam Investment & Finance Company Ltd",2163,"1,796.60","1,497.59",172.54,1796.6000
"Madras Fertilizers Ltd",5704,"1,793.69","1,527.57",169.86,1793.6900
"SEL Manufacturing Company Ltd",27662,"1,791.26","1,509.98",100.39,1791.2600
"Orchid Chemicals & Pharmaceuticals Ltd",3135,"1,790.58","1,372.56",159.48,1790.5800
"B.L.Kashyap & Sons Ltd",27242,"1,788.07","1,627.81",49.40,1788.0700
"Alkem Laboratories Ltd",19299,"1,785.82","1,368.91",323.43,1785.8200
"Ruchi Infrastructure Ltd",1957,"1,784.64","1,721.77",20.34,1784.6400
"McNally Bharat Engineering Company Ltd",751,"1,775.25","1,636.89",47.92,1775.2500
"Indraprastha Gas Ltd",20703,"1,769.75","1,264.28",259.77,1769.7500
"Indian Hotels Co Ltd",282,"1,765.19","1,276.45",141.25,1765.1900
"Bata India Ltd",60,"1,761.17","1,391.02",225.84,1761.1700
"Transport Corporation of India Ltd",20561,"1,760.14","1,620.83",55.91,1760.1400
"Dalmia Cement (Bharat) Ltd",22241,"1,758.87","1,395.10",-3.62,1758.8700
"Atlas Copco (India) Ltd",41,"1,757.72","1,472.60",165.73,1757.7200
"Neelachal Ispat Nigam Ltd",14727,"1,750.95","1,710.25",-173.14,1750.9500
"Binani Cement Ltd",22322,"1,732.88","1,447.67",90.51,1732.8800
"Man Industries (India) Ltd",1369,"1,729.79","1,571.95",91.96,1729.7900
"Madhucon Projects Ltd",12208,"1,722.17","1,540.66",32.40,1722.1700
"National Textile Corpn. (South Maharashtra) Ltd",24937,"1,720.09",165.24,"1,401.56",1720.0900
"Triveni Engineering and Industries Ltd",20058,"1,719.89","1,540.44",13.06,1719.8900
"Rosy Blue India Pvt Ltd",29579,"1,718.88","1,612.80",34.84,1718.8800
"Unity Infraprojects Ltd",25397,"1,718.83","1,474.34",94.35,1718.8300
"Gujarat NRE Coke Ltd",3896,"1,715.38","1,375.93",102.65,1715.3800
"Dhunseri Petrochem & Tea Ltd",737,"1,713.18","1,462.03",127.31,1713.1800
"Gitanjali Exports Corporation Ltd",19109,"1,708.77","1,630.95",38.49,1708.7700
"Centrum Direct Ltd",26997,"1,707.99","1,697.31",4.88,1707.9900
"ISMT Ltd",23244,"1,703.86","1,437.31",75.36,1703.8600
"Wheels India Ltd",609,"1,703.20","1,574.77",24.64,1703.2000
"Gannon Dunkerley & Company Ltd",16233,"1,701.27","1,441.62",105.19,1701.2700
"THDC India Ltd",13869,"1,700.80",281.06,600.48,1700.8000
"Western Electricity Supply Co of Orissa Ltd",22054,"1,699.61","1,682.53",-41.79,1699.6100
"ICSA (India) Ltd",5926,"1,698.99","1,401.18",125.63,1698.9900
"Adhunik Metaliks Ltd",27257,"1,694.95","1,358.26",56.86,1694.9500
"Delhi Metro Rail Corporation Ltd",16940,"1,691.75",900.43,-413.86,1691.7500
"Phillips Carbon Black Ltd",435,"1,687.81","1,457.53",116.28,1687.8100
"Trend Electronics Ltd",1709,"1,686.54","1,587.14",5.25,1686.5400
"Ahluwalia Contracts (India) Ltd",7310,"1,683.94","1,522.66",70.79,1683.9400
"Prakash Industries Ltd",444,"1,674.88","1,328.32",267.08,1674.8800
"Mother Dairy Food Processing Ltd",26485,"1,666.88","1,635.26",4.77,1666.8800
"India Glycols Ltd",1105,"1,663.09","1,460.42",25.62,1663.0900
"Shri Lakshmi Cotsyn Ltd",3049,"1,661.39","1,419.90",75.12,1661.3900
"Jaiprakash Industries Ltd - (Merged)",849,"1,650.13","1,191.49",127.98,1650.1300
"Century Enka Ltd",106,"1,646.89","1,547.39",8.78,1646.8900
"Monnet Ispat & Energy Ltd",3041,"1,646.07","1,166.97",281.15,1646.0700
"Godfrey Phillips India Ltd",657,"1,645.53","1,354.21",166.03,1645.5300
"Rungta Mines Ltd",27841,"1,643.74",935.76,444.42,1643.7400
"Abbott India Ltd",90,"1,643.63","1,448.50",120.39,1643.6300
"Spice Communications Ltd(merged)",24161,"1,643.47","1,949.61","-1,015.22",1643.4700
"Bharati Shipyard Ltd",23505,"1,640.16","1,113.78",113.45,1640.1600
"Sutlej Textiles and Industries Ltd",27375,"1,638.84","1,365.95",114.34,1638.8400
"Sai Service Station Ltd",4386,"1,632.03","1,562.47",34.75,1632.0300
"Honeywell Automation India Ltd",1131,"1,629.22","1,467.86",107.14,1629.2200
"Tata Capital Ltd",29113,"1,624.68","1,495.87",71.37,1624.6800
"Kwality Dairy (India) Ltd",5324,"1,622.74","1,521.52",45.94,1622.7400
"Sanwaria Agro Oils Ltd",3173,"1,621.50","1,550.62",30.99,1621.5000
"Pratibha Industries Ltd",26856,"1,621.24","1,407.30",83.24,1621.2400
"Biocon Ltd",14801,"1,619.98","1,010.31",459.25,1619.9800
"SKOL Breweries Ltd",24587,"1,617.42","1,500.86",-60.14,1617.4200
"Godrej Agrovet Ltd",16166,"1,608.80","1,557.33",29.80,1608.8000
"Force Motors Ltd",53,"1,603.42","1,453.31",58.62,1603.4200
"Cochin Shipyard Ltd",5762,"1,602.80","1,211.98",227.53,1602.8000
"Tata Steel Processing & Distribution Ltd",18401,"1,602.08","1,515.76",42.54,1602.0800
"Deepak Fertilizers & Petrochemicals Corp Ltd",135,"1,596.58","1,220.16",186.62,1596.5800
"Rolta India Ltd",1909,"1,595.19",662.66,495.36,1595.1900
"Chettinad Cement Corporation Ltd",110,"1,595.14","1,072.63",75.17,1595.1400
"TCS e-Serve Ltd",2497,"1,590.35",804.66,550.04,1590.3500
"Shrenuj & Company Ltd",1180,"1,578.95","1,463.02",30.52,1578.9500
"Prithvi Information Solutions Ltd",21351,"1,577.96","1,530.19",8.79,1577.9600
"Savita Oil Technologies Ltd",4149,"1,571.62","1,379.05",109.33,1571.6200
"Syntel Ltd",24846,"1,562.69","1,154.42",305.67,1562.6900
"Sunflag Iron & Steel Company Ltd",1065,"1,561.96","1,394.06",70.53,1561.9600
"KIOCL Ltd",12546,"1,558.47","1,401.28",94.30,1558.4700
"Asahi India Glass Ltd",1024,"1,558.17","1,281.50",15.15,1558.1700
"Petrocon India Ltd(merged)",23420,"1,558.09","1,388.23",17.29,1558.0900
"Hindusthan National Glass & Industries Ltd",4640,"1,552.51","1,281.98",86.42,1552.5100
"SPT Securities Ltd",7897,"1,550.32","1,550.24",0.00,1550.3200
"Nahar Spinning Mills Ltd",942,"1,539.63","1,239.71",119.73,1539.6300
"OCL India Ltd",422,"1,539.46","1,202.44",114.47,1539.4600
"GHCL Ltd",1026,"1,538.50","1,186.89",117.73,1538.5000
"Goodyear India Ltd",199,"1,536.95","1,415.60",64.60,1536.9500
"Prestige Estates Projects Ltd",13212,"1,536.77","1,136.51",203.54,1536.7700
"Dish TV India Ltd",20631,"1,526.24","1,199.39",-189.69,1526.2400
"GMMCO Ltd",23108,"1,522.73","1,382.93",78.73,1522.7300
"Blue Dart Express Ltd",4177,"1,513.86","1,313.38",122.24,1513.8600
"PPN Power Generating Company Pvt Ltd",19440,"1,509.03","1,165.97",164.07,1509.0300
"Rail Vikas Nigam Ltd",26721,"1,496.67","1,420.40",61.09,1496.6700
"Balaji Distilleries Ltd(merged)",4112,"1,493.09","1,461.33",-5.35,1493.0900
"Macleods Pharmaceuticals Ltd",25579,"1,488.83","1,236.05",214.87,1488.8300
"Lucas - TVS Ltd",12416,"1,487.92","1,347.96",75.71,1487.9200
"Dewan Housing Finance Corporation Ltd",1814,"1,486.67","1,141.46",265.13,1486.6700
"Aarti Industries Ltd",2378,"1,472.49","1,275.00",66.78,1472.4900
"Sanofi India Ltd",256,"1,464.52","1,148.97",191.19,1464.5200
"Polaris Financial Technology Ltd",17416,"1,461.46","1,218.50",187.03,1461.4600
"Asian Star Company Ltd",5342,"1,460.89","1,397.60",25.36,1460.8900
"Gayatri Projects Ltd",16500,"1,455.04","1,267.34",50.00,1455.0400
"Amtek India Ltd",15631,"1,454.45","1,051.40",113.83,1454.4500
"Gujarat Alkalies & Chemicals Ltd",217,"1,450.92","1,169.76",114.30,1450.9200
"Sundaram Finance Ltd",540,"1,450.41",965.35,295.23,1450.4100
"Gujarat Mineral Development Corporation Ltd",13868,"1,449.58",756.76,375.07,1449.5800
"Kothari Products Ltd",4936,"1,436.46","1,352.06",61.61,1436.4600
"DLF Commercial Developers Ltd",24956,"1,434.25",347.35,797.62,1434.2500
"Kudremukh Iron & Steel Company Ltd",5508,"1,430.91","1,374.28",22.01,1430.9100
"EID Parry (India) Ltd",148,"1,429.73","1,246.20",79.26,1429.7300
"Tata Motors Finance Ltd",27756,"1,429.24","1,220.40",127.10,1429.2400
"Usha International Ltd",308,"1,423.50","1,350.17",37.72,1423.5000
"Visa Steel Ltd",27244,"1,421.21","1,183.60",51.37,1421.2100
"Simbhaoli Sugars Ltd",1615,"1,420.08","1,421.29",-74.69,1420.0800
"Compuage Infocom Ltd",22406,"1,415.13","1,390.00",8.67,1415.1300
"Lanco Power Ltd",18797,"1,411.65",479.98,375.11,1411.6500
"SPS Steels Rolling Mills Ltd",20946,"1,406.17","1,310.79",12.76,1406.1700
"Bajaj Finance Ltd",3722,"1,406.13","1,024.40",246.96,1406.1300
"Hazel Mercantile Ltd",25557,"1,403.18","1,346.75",38.44,1403.1800
"L & T Finance Ltd",12298,"1,397.53",994.48,230.45,1397.5300
"JK Lakshmi Cement Ltd",535,"1,396.93","1,173.62",59.13,1396.9300
"JMC Projects (India) Ltd",4353,"1,393.86","1,268.49",41.79,1393.8600
"Air-India Charters Ltd",24008,"1,388.08","1,365.25",-360.69,1388.0800
"Sandvik Asia Ltd",497,"1,385.82","1,307.15",-11.46,1385.8200
"JK Paper Ltd",5772,"1,385.42","1,112.18",106.42,1385.4200
"Graphite India Ltd",102,"1,378.60","1,078.41",172.32,1378.6000
"National Stock Exchange Of India Ltd",21241,"1,378.47",428.01,637.51,1378.4700
"Pfizer Ltd",434,"1,377.50","1,020.88",226.34,1377.5000
"C & C Constructions Ltd",27581,"1,377.36","1,098.16",52.05,1377.3600
"BPTP Ltd",29077,"1,374.92",878.44,330.30,1374.9200
"Value Industries Ltd",1167,"1,374.42","1,209.61",4.12,1374.4200
"Coca-Cola India Pvt Ltd",5626,"1,367.25","1,106.26",170.44,1367.2500
"Kotak Mahindra Prime Ltd",14235,"1,364.76",881.03,317.86,1364.7600
"Akzo Nobel India Ltd",266,"1,363.00","1,119.90",176.60,1363.0000
"Torrent Power AEC Ltd(merged)",10,"1,361.50","1,066.10",106.71,1361.5000
"Saint Gobain Glass India Ltd",19197,"1,358.07","1,037.06",138.60,1358.0700
"Burn Standard Company Ltd",12374,"1,357.41",204.01,"1,162.14",1357.4100
"Nahar Industrial Enterprises Ltd",1186,"1,355.53","1,135.11",31.53,1355.5300
"Hatsun Agro Product Ltd",13023,"1,355.38","1,259.69",18.75,1355.3800
"Fag Bearings India Ltd",446,"1,353.55","1,068.74",175.97,1353.5500
"TVS Suzuki Ltd (Merged)",267,"1,352.90","1,196.95",82.09,1352.9000
"Mahindra Ugine Steel Company Ltd",395,"1,351.53","1,287.29",-5.97,1351.5300
"Electronics Corporation Of India Ltd",12010,"1,350.43","1,289.46",22.87,1350.4300
"National Agricultural Co-Op Mktg Fedn of India",25350,"1,348.84","1,329.07",3.19,1348.8400
"Tata Metaliks Ltd",2986,"1,346.54","1,269.88",22.95,1346.5400
"Greenply Industries Ltd",4701,"1,337.38","1,223.02",25.09,1337.3800
"MOIL Ltd",13863,"1,335.09",422.42,588.06,1335.0900
"Bridge & Roof Co India Ltd",12363,"1,333.50","1,218.31",57.68,1333.5000
"Anik Industries Ltd",3704,"1,333.29","1,276.31",10.09,1333.2900
"KSL and Industries Ltd",4857,"1,332.07","1,146.10",-3.42,1332.0700
"Kajaria Ceramics Ltd",1129,"1,329.39","1,127.66",80.72,1329.3900
"Sharp Menthol India Ltd",25130,"1,328.42","1,232.14",45.11,1328.4200
"Shriram EPC Ltd",28369,"1,327.92","1,095.03",69.61,1327.9200
"Shriram City Union Finance Ltd",6548,"1,320.91",952.84,240.59,1320.9100
"Divis Laboratories Ltd",21188,"1,309.52",774.92,435.57,1309.5200
"Nilkamal Ltd",2061,"1,308.00","1,174.94",52.46,1308.0000
"Diamond Power Infrastructure Ltd",3225,"1,307.93","1,148.51",97.62,1307.9300
"Tamil Nadu Newsprint & Papers Ltd",12122,"1,305.76",943.01,148.99,1305.7600
"Citifinancial Consumer Finance India Ltd",24980,"1,305.26","1,278.99",11.55,1305.2600
"Hindustan Copper Ltd",3898,"1,299.21",939.62,224.10,1299.2100
"Radha Madhav Investments LTd",22372,"1,296.42",92.69,"1,072.11",1296.4200
"ITD Cementation India Ltd",105,"1,295.77","1,146.71",22.58,1295.7700
"Ushodaya Enterprises Ltd",23956,"1,293.79","1,074.47",-149.21,1293.7900
"Kitchen Appliances India Ltd",12832,"1,291.52","1,215.64",19.20,1291.5200
"Munjal Showa Ltd",941,"1,290.93","1,207.58",34.02,1290.9300
"Temptation Foods Ltd",2910,"1,290.76","1,183.20",62.95,1290.7600
"North Eastern Electric Power Corporation Ltd",16083,"1,288.19",755.40,263.56,1288.1900
"National Handloom Development Corporation Ltd",13807,"1,285.14","1,278.71",4.32,1285.1400
"Sharda Solvent Ltd",5075,"1,283.17","1,202.66",4.75,1283.1700
"Tribhovandas Bhimji Zaveri Ltd",19638,"1,283.01","1,195.69",40.42,1283.0100
"VVF Ltd",20392,"1,281.84","1,367.83",-146.82,1281.8400
"Emami Ltd",6423,"1,279.29",982.37,227.49,1279.2900
"D B Corp Ltd",28589,"1,278.20",853.18,267.32,1278.2000
"Godrej Industries Ltd",1742,"1,277.76","1,049.72",133.43,1277.7600
"Kalyani Steels Ltd",322,"1,274.14","1,157.99",52.30,1274.1400
"Lanco Kondapalli Power Private Ltd",23238,"1,274.04","1,017.74",137.62,1274.0400
"Greaves Cotton Ltd",208,"1,270.83","1,059.01",127.28,1270.8300
"HEG Ltd",251,"1,269.81","1,007.81",128.86,1269.8100
"SKS Microfinance Ltd",29583,"1,269.54","1,080.96",111.63,1269.5400
"Glenmark Pharmaceuticals Ltd",20600,"1,268.50",910.95,212.18,1268.5000
"Aban Offshore Ltd",1093,"1,267.31",455.12,233.95,1267.3100
"ICICI Home Finance Company Ltd",20661,"1,264.52",933.15,233.28,1264.5200
"Arch Pharmalabs Ltd",4361,"1,262.92",930.44,83.34,1262.9200
"Clariant Chemicals (India) Ltd",119,"1,256.05",841.28,304.04,1256.0500
"H T Media Ltd",24949,"1,255.83",931.74,177.59,1255.8300
"Emmsons International Ltd",7388,"1,253.93","1,209.73",9.73,1253.9300
"Rohit Ferro Tech Ltd",26813,"1,248.21","1,102.80",46.19,1248.2100
"KEI Industries Ltd",4679,"1,235.82","1,143.00",10.56,1235.8200
"Elecon Engineering Company Ltd",152,"1,235.40","1,020.52",87.92,1235.4000
"Shiv-Vani Oil & Gas Exploration Services Ltd",3313,"1,233.62",819.96,40.65,1233.6200
"Surana Industries Ltd",3897,"1,230.67","1,068.34",56.55,1230.6700
"3M India Ltd",2096,"1,229.84","1,063.22",98.80,1229.8400
"Optiemus Infracom Ltd",5004,"1,227.42","1,183.01",15.59,1227.4200
"Sangam (India) Ltd",2831,"1,222.68","1,018.89",56.59,1222.6800
"SPML Infra Ltd",3348,"1,220.07","1,086.60",28.83,1220.0700
"iGate Global Solutions Ltd",13531,"1,219.35",919.33,252.85,1219.3500
"Alfa-Laval (India) Ltd",869,"1,219.26","1,012.25",130.54,1219.2600
"Ashoka Buildcon Ltd",25513,"1,215.47","1,032.15",84.74,1215.4700
"Krishna Knitwear Technology Ltd",22951,"1,214.71","1,098.56",1.19,1214.7100
"Steel Exchange India Ltd",21196,"1,210.17","1,123.76",17.00,1210.1700
"Bharti Mobile Ltd",25091,"1,207.64",749.32,181.75,1207.6400
"Hanung Toys and Textiles Ltd",23633,"1,202.31",977.33,120.06,1202.3100
"Heinz India Pvt Ltd",12467,"1,197.30",964.68,195.12,1197.3000
"Jayant Agro Organics Ltd",2915,"1,196.25","1,148.37",17.74,1196.2500
"Federal-Mogul Goetze (India) Ltd",197,"1,195.37","1,068.21",37.46,1195.3700
"Rallis India Ltd",465,"1,192.58","1,002.22",101.39,1192.5800
"Pernod Ricard India Pvt Ltd",16875,"1,191.66",861.79,199.30,1191.6600
"Drive India Enterprise Solutions Ltd",25303,"1,187.88","1,116.71",31.29,1187.8800
"Omax Autos Ltd",1318,"1,186.00","1,091.38",21.29,1186.0000
"Manappuram Finance Ltd",6083,"1,181.53",736.34,282.66,1181.5300
"Afcons Infrastructure Ltd",6437,"1,181.13",987.44,58.68,1181.1300
"ARSS Infrastructure Projects Ltd",29368,"1,179.25","1,003.08",-29.61,1179.2500
"IL&FS Engineering & Construction Co Ltd",18014,"1,175.12","1,046.96",2.91,1175.1200
"Frigerio Conserva Allana Ltd",23589,"1,174.84","1,028.60",85.96,1174.8400
