,Sno_df1,Candidate_df1,Constituency _df1,Party_df1,Criminal Case_df1,Education_df1,Total Assets_df1,Liabilities_df1,id_df2,name_df2,person_name_df2,designation_df2
0,4,harin pathak,Ahmedabad,BJP,1,Graduate Professional,"Rs 1,02,87,931
~ 1 Crore+","Rs 0
~",14852,ABG Shipyard Ltd,arun phatak,Executive Director
1,4,harin pathak,Ahmedabad,BJP,1,Graduate Professional,"Rs 1,02,87,931
~ 1 Crore+","Rs 0
~",14852,ABG Shipyard Ltd,arun phatak,Addi.Direct.& Executive Direc
2,9,bijendra singh,Aligarh,INC,0,Graduate,"Rs 28,92,600
~ 28 Lacs+","Rs 0
~",23875,Shree Renuka Sugars Ltd,vijendra singh,WTD & Additional Director
3,9,bijendra singh,Aligarh,INC,0,Graduate,"Rs 28,92,600
~ 28 Lacs+","Rs 0
~",24711,Kudos Chemie Ltd,jitendra singh,Managing Director
4,9,bijendra singh,Aligarh,INC,0,Graduate,"Rs 28,92,600
~ 28 Lacs+","Rs 0
~",25350,National Agricultural Co-Op Mktg Fedn of India,bijender singh,Director
5,13,karan singh yadav,Alwar,INC,0,Post Graduate,"Rs 40,23,529
~ 40 Lacs+","Rs 10,22,864
~ 10 Lacs+",24955,Indiabulls Financial Services Ltd,karan singh,Director
6,29,kanti singh,Arrah,RJD,0,Graduate,"Rs 1,16,02,840
~ 1 Crore+","Rs 33,797
~ 33 Thou+",2970,Trident Ltd,kavita singh,Director
7,29,kanti singh,Arrah,RJD,0,Graduate,"Rs 1,16,02,840
~ 1 Crore+","Rs 33,797
~ 33 Thou+",13869,THDC India Ltd,manjit singh,Nominee (Govt)
8,29,kanti singh,Arrah,RJD,0,Graduate,"Rs 1,16,02,840
~ 1 Crore+","Rs 33,797
~ 33 Thou+",20631,Dish TV India Ltd,ranjit singh,Company Secretary
9,29,kanti singh,Arrah,RJD,0,Graduate,"Rs 1,16,02,840
~ 1 Crore+","Rs 33,797
~ 33 Thou+",247,Hindustan Motors Ltd,kranti sinha,Director
10,29,kanti singh,Arrah,RJD,0,Graduate,"Rs 1,16,02,840
~ 1 Crore+","Rs 33,797
~ 33 Thou+",1056,Polyplex Corporation Ltd,ranjit singh,Whole Time Director & COO
11,29,kanti singh,Arrah,RJD,0,Graduate,"Rs 1,16,02,840
~ 1 Crore+","Rs 33,797
~ 33 Thou+",23296,India Infoline Ltd,kranti sinha,Director
12,34,nikhil kumar,Aurangabad,INC,0,Post Graduate,"Rs 7,44,89,984
~ 7 Crore+","Rs 12,20,000
~ 12 Lacs+",5056,Relaxo Footwears Ltd,nikhil dua,Whole-time Director
13,41,ajit singh,Baghpat,RLD,0,Post Graduate,"Rs 1,34,23,683
~ 1 Crore+","Rs 14,56,567
~ 14 Lacs+",237,Hero MotoCorp Ltd,analjit singh,Director
14,41,ajit singh,Baghpat,RLD,0,Post Graduate,"Rs 1,34,23,683
~ 1 Crore+","Rs 14,56,567
~ 14 Lacs+",557,Tata Global Beverages Ltd,analjit singh,Director
15,41,ajit singh,Baghpat,RLD,0,Post Graduate,"Rs 1,34,23,683
~ 1 Crore+","Rs 14,56,567
~ 14 Lacs+",2966,Motherson Sumi Systems Ltd,amarjit singh,Director
16,41,ajit singh,Baghpat,RLD,0,Post Graduate,"Rs 1,34,23,683
~ 1 Crore+","Rs 14,56,567
~ 14 Lacs+",2970,Trident Ltd,kavita singh,Director
17,41,ajit singh,Baghpat,RLD,0,Post Graduate,"Rs 1,34,23,683
~ 1 Crore+","Rs 14,56,567
~ 14 Lacs+",3392,Dabur India Ltd,analjit singh,Director
18,41,ajit singh,Baghpat,RLD,0,Post Graduate,"Rs 1,34,23,683
~ 1 Crore+","Rs 14,56,567
~ 14 Lacs+",6890,DLF Ltd,rajiv singh,Vice Chairman
19,41,ajit singh,Baghpat,RLD,0,Post Graduate,"Rs 1,34,23,683
~ 1 Crore+","Rs 14,56,567
~ 14 Lacs+",6890,DLF Ltd,rajiv singh,Vice Chairman
20,41,ajit singh,Baghpat,RLD,0,Post Graduate,"Rs 1,34,23,683
~ 1 Crore+","Rs 14,56,567
~ 14 Lacs+",27581,C & C Constructions Ltd,rajbir singh,Whole-time Director
21,41,ajit singh,Baghpat,RLD,0,Post Graduate,"Rs 1,34,23,683
~ 1 Crore+","Rs 14,56,567
~ 14 Lacs+",3356,Rana Sugars Ltd,baljit singh,Director
22,41,ajit singh,Baghpat,RLD,0,Post Graduate,"Rs 1,34,23,683
~ 1 Crore+","Rs 14,56,567
~ 14 Lacs+",5458,GVK Industries Ltd,ajit singh,Director
23,45,suraj singh,Balia,LJNSP,17,Literate,"Rs 15,16,070
~ 15 Lacs+","Rs 60,024
~ 60 Thou+",12196,EMC Ltd,suraj mall singhi,Director
24,46,chandra shekhar,Ballia,Samajwadi Janata Party (Rashtriya),0,Post Graduate,"Rs 40,35,983
~ 40 Lacs+","Rs 11,45,552
~ 11 Lacs+",3029,Chambal Fertilisers & Chemicals Ltd,chandra shekhar nopany,Director
25,46,chandra shekhar,Ballia,Samajwadi Janata Party (Rashtriya),0,Post Graduate,"Rs 40,35,983
~ 40 Lacs+","Rs 11,45,552
~ 11 Lacs+",694,Oudh Sugar Mills Ltd,chandra shekhar nopany,Chairman & Managing Director
26,60,subrata bose,Barasat,AIFB,0,Graduate,"Rs 23,86,568
~ 23 Lacs+","Rs 35,700
~ 35 Thou+",64,Berger Paints India Ltd,subir bose,Managing Director
27,61,santosh gangwar,Bareilly,BJP,0,Post Graduate,"Rs 70,43,413
~ 70 Lacs+","Rs 2,50,154
~ 2 Lacs+",28443,Parle Biscuits Pvt Ltd,santosh narwal,Director
28,62,vijay krishna,Barh,RJD,1,Post Graduate,"Rs 58,32,524
~ 58 Lacs+","Rs 27,725
~ 27 Thou+",1474,Uflex Ltd,ajay krishna,Vice President & CS
29,62,vijay krishna,Barh,RJD,1,Post Graduate,"Rs 58,32,524
~ 58 Lacs+","Rs 27,725
~ 27 Thou+",13332,Godrej & Boyce Manufacturing Company Ltd,vijay m crishna,Director
30,62,vijay krishna,Barh,RJD,1,Post Graduate,"Rs 58,32,524
~ 58 Lacs+","Rs 27,725
~ 27 Thou+",2400,Precision Wires India Ltd,vijay m crishna,Director
31,63,manvendra singh,Barmer,BJP,0,Post Graduate,"Rs 46,56,839
~ 46 Lacs+","Rs 73,531
~ 73 Thou+",2324,Bongaigaon Refinery & Petrochemicals Ltd(merged),maninder singh,Director
32,66,ajay chakraborty,Basirhat,CPI,0,Graduate Professional,"Rs 72,18,672
~ 72 Lacs+","Rs 0
~",213,Gujarat Narmada Valley Fertilisers Company Ltd,atanu chakraborty,Director
33,66,ajay chakraborty,Basirhat,CPI,0,Graduate Professional,"Rs 72,18,672
~ 72 Lacs+","Rs 0
~",226,Gujarat State Fertilizers & Chemicals Ltd,atanu chakraborty,Managing Director
34,66,ajay chakraborty,Basirhat,CPI,0,Graduate Professional,"Rs 72,18,672
~ 72 Lacs+","Rs 0
~",3118,Alok Industries Ltd,maya chakravorty,Nominee (IDBI)
35,66,ajay chakraborty,Basirhat,CPI,0,Graduate Professional,"Rs 72,18,672
~ 72 Lacs+","Rs 0
~",13868,Gujarat Mineral Development Corporation Ltd,atanu chakraborty,Director
36,66,ajay chakraborty,Basirhat,CPI,0,Graduate Professional,"Rs 72,18,672
~ 72 Lacs+","Rs 0
~",2718,Gujarat Industries Power Co Ltd,atanu chakraborty,Nominee (GSFC)
37,66,ajay chakraborty,Basirhat,CPI,0,Graduate Professional,"Rs 72,18,672
~ 72 Lacs+","Rs 0
~",13229,Garden Reach Shipbuilders & Engineers Ltd,ranjan chakraborty,Director (Finance)
38,70,rajiv ranjan singh,Begusarai,JD(U),0,Graduate,"Rs 67,46,462
~ 67 Lacs+","Rs 0
~",13872,Suzlon Energy Ltd,rajiv ranjan jha,Nominee
39,70,rajiv ranjan singh,Begusarai,JD(U),0,Graduate,"Rs 67,46,462
~ 67 Lacs+","Rs 0
~",1291,Jindal Drilling & Industries Ltd,rajiv ranjan,Company Secretary
40,70,rajiv ranjan singh,Begusarai,JD(U),0,Graduate,"Rs 67,46,462
~ 67 Lacs+","Rs 0
~",3356,Rana Sugars Ltd,rana ranjit singh,Chairman
41,78,sushil kumar modi,Bhagalpur,BJP,3,Post Graduate,"Rs 34,10,312
~ 34 Lacs+","Rs 9,35,401
~ 9 Lacs+",1019,HCL Infosystems Ltd,sushil kumar jain,Company Secretary
42,78,sushil kumar modi,Bhagalpur,BJP,3,Post Graduate,"Rs 34,10,312
~ 34 Lacs+","Rs 9,35,401
~ 9 Lacs+",13360,Jindal Power Ltd,sushil kumar maroo,Deputy Managing Director
43,92,ajit kumar singh,Bikramganj,JD(U),0,Post Graduate,"Rs 1,43,62,110
~ 1 Crore+","Rs 0
~",25350,National Agricultural Co-Op Mktg Fedn of India,ajit kumar singh,Chairman
44,101,kalyan singh,Bulandshahr,BJP,0,Graduate Professional,"Rs 62,09,253
~ 62 Lacs+","Rs 0
~",12502,Central Coalfields Ltd,kalyan sen,Director(Parttime Non-officia)
45,101,kalyan singh,Bulandshahr,BJP,0,Graduate Professional,"Rs 62,09,253
~ 62 Lacs+","Rs 0
~",24955,Indiabulls Financial Services Ltd,karan singh,Director
46,104,nikhilananda sar,Burdwan,CPM,0,Graduate Professional,"Rs 34,31,414
~ 34 Lacs+","Rs 0
~",161,Escorts Ltd,nikhil nanda,Joint Managing Director
47,109,shailendra kumar,Chail,SP,0,12th Pass,"Rs 93,37,424
~ 93 Lacs+","Rs 10,92,000
~ 10 Lacs+",4353,JMC Projects (India) Ltd,shailendra kumar tripathi,Deputy Managing Director
48,143,mohan singh,Deoria,SP,0,Not Given,"Rs 84,68,000
~ 84 Lacs+","Rs 1,50,000
~ 1 Lacs+",14235,Kotak Mahindra Prime Ltd,mohan shenoi,Director
49,146,chhatar singh darbar,Dhar,BJP,1,Post Graduate,"Rs 28,85,302
~ 28 Lacs+","Rs 2,71,133
~ 2 Lacs+",26653,Vikash Metal & Power Ltd,chhatar singh dugar,Director
50,171,mahendra prasad nishad,Fatehpur,BSP,0,Graduate,"Rs 10,82,468
~ 10 Lacs+","Rs 56,554
~ 56 Thou+",1957,Ruchi Infrastructure Ltd,mahendra prasad sharma,Whole-time Director
51,178,rajesh kumar manjhi,Gaya,RJD,0,8th Pass,Nil,"Rs 26,000
~ 26 Thou+",16667,BLB Ltd,rajesh kumar damani,Director
52,188,aditya nath,Gorakhpur,BJP,0,Graduate,"Rs 9,60,672
~ 9 Lacs+","Rs 0
~",751,McNally Bharat Engineering Company Ltd,aditya khaitan,Director
53,188,aditya nath,Gorakhpur,BJP,0,Graduate,"Rs 9,60,672
~ 9 Lacs+","Rs 0
~",18593,Andhra Pradesh Power Generation Corporation Ltd,aditya nath das,Director
54,188,aditya nath,Gorakhpur,BJP,0,Graduate,"Rs 9,60,672
~ 9 Lacs+","Rs 0
~",24988,Mcleod Russel India Ltd,aditya khaitan,Managing Director
55,195,suresh chandel,Hamirpur,BJP,0,Post Graduate,"Rs 64,26,759
~ 64 Lacs+","Rs 10,69,724
~ 10 Lacs+",14266,Jaiprakash Power Ventures Ltd,suresh chandra,Whole-time Director
56,197,b.vinod kumar,Hanamkonda,TRS,0,Graduate,"Rs 1,00,11,716
~ 1 Crore+","Rs 0
~",2295,Tata Communications Ltd,vinod kumar,Managing Director & CEO
57,197,b.vinod kumar,Hanamkonda,TRS,0,Graduate,"Rs 1,00,11,716
~ 1 Crore+","Rs 0
~",13229,Garden Reach Shipbuilders & Engineers Ltd,vinod kumar,Director (Ship building)
58,200,rajendra kumar,Hardwar,SP,0,8th Pass,"Rs 23,94,512
~ 23 Lacs+","Rs 0
~",25157,Dakshin Haryana Bijli Vitran Nigam Ltd,vijayendra kumar,Managing Director
59,200,rajendra kumar,Hardwar,SP,0,8th Pass,"Rs 23,94,512
~ 23 Lacs+","Rs 0
~",26520,BSES Rajdhani Power Ltd,rajendra kumar,Nominee (Govt)
60,206,jai parkash,Hissar,INC,5,12th Pass,"Rs 45,68,812
~ 45 Lacs+","Rs 2,45,760
~ 2 Lacs+",28695,PNC Infratech Ltd,vijay prakash,Additional Director
61,208,sartaj singh,Hoshangabad,BJP,0,Graduate,"Rs 1,48,78,898
~ 1 Crore+","Rs 6,54,724
~ 6 Lacs+",12068,Power Finance Corporation Ltd,satnam singh,Chairman & Managing Director
62,216,rakesh singh,Jabalpur,BJP,0,Graduate,"Rs 63,27,291
~ 63 Lacs+","Rs 0
~",12380,Bharat Coking Coal Ltd,rakesh sinha,Director (Technical & Operatio
63,216,rakesh singh,Jabalpur,BJP,0,Graduate,"Rs 63,27,291
~ 63 Lacs+","Rs 0
~",25350,National Agricultural Co-Op Mktg Fedn of India,rajeshwar singh,Director
64,221,mohan jena,Jajpur,BJD,0,Post Graduate,"Rs 8,70,000
~ 8 Lacs+","Rs 22,568
~ 22 Thou+",6423,Emami Ltd,mohan goenka,Whole-time Director
65,230,sunil kumar mahato,Jamshedpur,JMM,3,Graduate,"Rs 30,58,500
~ 30 Lacs+","Rs 0
~",15293,Jaiprakash Associates Ltd,sunil kumar sharma,Executive Vice Chairman
66,230,sunil kumar mahato,Jamshedpur,JMM,3,Graduate,"Rs 30,58,500
~ 30 Lacs+","Rs 0
~",15293,Jaiprakash Associates Ltd,sunil kumar sharma,Executive Vice Chairman
67,230,sunil kumar mahato,Jamshedpur,JMM,3,Graduate,"Rs 30,58,500
~ 30 Lacs+","Rs 0
~",3487,Murli Industries Ltd,sunil kumar maloo,Executive Director
68,230,sunil kumar mahato,Jamshedpur,JMM,3,Graduate,"Rs 30,58,500
~ 30 Lacs+","Rs 0
~",14222,Gati Ltd,sunil kumar alagh,Director
69,230,sunil kumar mahato,Jamshedpur,JMM,3,Graduate,"Rs 30,58,500
~ 30 Lacs+","Rs 0
~",14266,Jaiprakash Power Ventures Ltd,sunil kumar sharma,Vice Chairman & CEO
70,231,pranab mukherjee,Jangipur,INC,0,Doctorate,"Rs 1,52,04,925
~ 1 Crore+","Rs 2,17,267
~ 2 Lacs+",1022,Garden Silk Mills Ltd,anjan mukherjee,Nominee (LIC)
71,234,dushyant singh,Jhalawar,BJP,0,Post Graduate,"Rs 70,82,067
~ 70 Lacs+","Rs 0
~",16110,Praxair India (P) Ltd,sthanu singh,Additional Director
72,236,chandrapal singh yadav,Jhansi,SP,1,Post Graduate,"Rs 53,07,820
~ 53 Lacs+","Rs 0
~",2089,Nagarjuna Fertilizers & Chemicals Ltd (Merged),chandra pal singh yadav,Nominee (KRIBHCO)
73,251,chander kumar,Kangra,INC,0,Post Graduate,"Rs 73,04,760
~ 73 Lacs+","Rs 19,16,918
~ 19 Lacs+",12133,Hindustan Shipyard Ltd,naresh kumar,Chairman & MD & Dir.(Technical
74,259,arvind kumar sharma,Karnal,INC,0,Post Graduate,"Rs 57,36,332
~ 57 Lacs+","Rs 0
~",247,Hindustan Motors Ltd,vijay kumar sharma,Nominee (LIC)
75,276,ashok kumar pradhan,Khurja,BJP,0,Others,"Rs 1,15,89,733
~ 1 Crore+","Rs 0
~",175,Nestle India Ltd,ashok kumar mahindra,Director
76,276,ashok kumar pradhan,Khurja,BJP,0,Others,"Rs 1,15,89,733
~ 1 Crore+","Rs 0
~",12029,Engineers India Ltd,ashok kumar purwaha,Chairman & Managing Director
77,291,naveen jindal,Kurukshetra,INC,0,Post Graduate,"Rs 12,12,95,000
~ 12 Crore+","Rs 0
~",2338,Mawana Sugars Ltd,naveen jain,Company Secretary
78,291,naveen jindal,Kurukshetra,INC,0,Post Graduate,"Rs 12,12,95,000
~ 12 Crore+","Rs 0
~",13360,Jindal Power Ltd,naveen jindal,Chairman
79,291,naveen jindal,Kurukshetra,INC,0,Post Graduate,"Rs 12,12,95,000
~ 12 Crore+","Rs 0
~",20287,Jindal Steel & Power Ltd,naveen jindal,Chairman & Managing Director
80,291,naveen jindal,Kurukshetra,INC,0,Post Graduate,"Rs 12,12,95,000
~ 12 Crore+","Rs 0
~",24610,Jindal Stainless Ltd,naveen jindal,Director
81,291,naveen jindal,Kurukshetra,INC,0,Post Graduate,"Rs 12,12,95,000
~ 12 Crore+","Rs 0
~",24610,Jindal Stainless Ltd,naveen jindal,Director
82,291,naveen jindal,Kurukshetra,INC,0,Post Graduate,"Rs 12,12,95,000
~ 12 Crore+","Rs 0
~",27753,Time Technoplast Ltd,naveen jain,Whole-time Director
83,291,naveen jindal,Kurukshetra,INC,0,Post Graduate,"Rs 12,12,95,000
~ 12 Crore+","Rs 0
~",27753,Time Technoplast Ltd,naveen jain,Whole Time Director- Technical
84,294,arun kumar sarmah,Lakhimpur,AGP,0,Not Given,"Rs 14,67,028
~ 14 Lacs+","Rs 0
~",24474,IL&FS Financial Services Ltd,arun kumar saha,Director
85,304,shakeel ahmad,Madhubani,INC,0,Graduate Professional,"Rs 18,59,000
~ 18 Lacs+","Rs 3,00,000
~ 3 Lacs+",3898,Hindustan Copper Ltd,shakeel ahmed,Chairman & Managing Director
86,316,pratibha singh,Mandi,INC,0,Graduate,"Rs 23,02,88,018
~ 23 Crore+","Rs 15,42,808
~ 15 Lacs+",12350,GAIL (India) Ltd,prabhat singh,Director (Marketing)
87,324,manvendra singh,Mathura,INC,0,12th Pass,"Rs 1,53,87,530
~ 1 Crore+","Rs 2,81,228
~ 2 Lacs+",2324,Bongaigaon Refinery & Petrochemicals Ltd(merged),maninder singh,Director
88,335,ashok kumar rawat,Misrikh,BSP,0,Post Graduate,"Rs 14,19,108
~ 14 Lacs+","Rs 3,26,547
~ 3 Lacs+",12029,Engineers India Ltd,ashok kumar purwaha,Chairman & Managing Director
89,335,ashok kumar rawat,Misrikh,BSP,0,Post Graduate,"Rs 14,19,108
~ 14 Lacs+","Rs 3,26,547
~ 3 Lacs+",15192,Northern Coalfields Ltd,ashok kumar sarkar,Director
90,335,ashok kumar rawat,Misrikh,BSP,0,Post Graduate,"Rs 14,19,108
~ 14 Lacs+","Rs 3,26,547
~ 3 Lacs+",22221,PEC Ltd,ashok kumar,Company Secretary
91,335,ashok kumar rawat,Misrikh,BSP,0,Post Graduate,"Rs 14,19,108
~ 14 Lacs+","Rs 3,26,547
~ 3 Lacs+",2986,Tata Metaliks Ltd,ashok kumar,Director
92,335,ashok kumar rawat,Misrikh,BSP,0,Post Graduate,"Rs 14,19,108
~ 14 Lacs+","Rs 3,26,547
~ 3 Lacs+",17560,National Projects Construction Corporation Ltd,ashok kumar,Director (Part-Time)
93,335,ashok kumar rawat,Misrikh,BSP,0,Post Graduate,"Rs 14,19,108
~ 14 Lacs+","Rs 3,26,547
~ 3 Lacs+",23401,Indian Railway Catering & Tourism Corporation Ltd,ashok kumar,Executive Director
94,335,ashok kumar rawat,Misrikh,BSP,0,Post Graduate,"Rs 14,19,108
~ 14 Lacs+","Rs 3,26,547
~ 3 Lacs+",24800,Parsvnath Developers Ltd,ashok kumar,Director
95,337,jai prakash,Mohanlalganj,SP,0,Graduate,"Rs 1,65,83,667
~ 1 Crore+","Rs 18,83,335
~ 18 Lacs+",28695,PNC Infratech Ltd,vijay prakash,Additional Director
96,344,govinda,Mumbai North,INC,1,Graduate,"Rs 14,52,98,405
~ 14 Crore+","Rs 2,50,00,000
~ 2 Crore+",93,Britannia Industries Ltd,p govindan,Company Secretary
97,361,nitish kumar,Nalanda,JD(U),0,Graduate,"Rs 43,89,206
~ 43 Lacs+","Rs 6,72,674
~ 6 Lacs+",25093,Dharampal Satyapal Ltd,ritesh kumar,Director
98,376,sajjan kumar,Outer Delhi,INC,1,Literate,"Rs 13,06,055
~ 13 Lacs+","Rs 5,20,477
~ 5 Lacs+",12498,Pepsi Foods Pvt Ltd,sanjay kumar,Whole-time Director
99,376,sajjan kumar,Outer Delhi,INC,1,Literate,"Rs 13,06,055
~ 13 Lacs+","Rs 5,20,477
~ 5 Lacs+",25093,Dharampal Satyapal Ltd,ajay kumar,Whole-time Director
100,379,manoj kumar,Palamau,RJD,0,Graduate,"Rs 18,25,000
~ 18 Lacs+","Rs 1,25,000
~ 1 Lacs+",4353,JMC Projects (India) Ltd,manoj kumar singh,Executive Director
101,379,manoj kumar,Palamau,RJD,0,Graduate,"Rs 18,25,000
~ 18 Lacs+","Rs 1,25,000
~ 1 Lacs+",5004,Optiemus Infracom Ltd,manoj kumar jain,Director
102,406,p. rajendran,Quilon,CPM,0,Post Graduate,"Rs 22,42,499
~ 22 Lacs+","Rs 2,27,054
~ 2 Lacs+",346,Lakshmi Machine Works Ltd,r rajendran,Director (Finance)
103,406,p. rajendran,Quilon,CPM,0,Post Graduate,"Rs 22,42,499
~ 22 Lacs+","Rs 2,27,054
~ 2 Lacs+",2771,NIIT Ltd,p rajendran,Whole Time Director & COO
104,411,ramesh bais,Raipur,BJP,0,12th Pass,"Rs 96,90,604
~ 96 Lacs+","Rs 0
~",24610,Jindal Stainless Ltd,ramesh b nair,President & Executive Director
105,427,bhupinder singh,Rohtak,INC,1,Graduate Professional,"Rs 94,86,571
~ 94 Lacs+","Rs 4,57,151
~ 4 Lacs+",23257,Uttar Haryana Bijli Vitran Nigam Ltd,mohinder singh,Director (Finance)
106,427,bhupinder singh,Rohtak,INC,1,Graduate Professional,"Rs 94,86,571
~ 94 Lacs+","Rs 4,57,151
~ 4 Lacs+",1149,Jamna Auto Industries Ltd,bhupinder singh jauhar,Chairman
107,427,bhupinder singh,Rohtak,INC,1,Graduate Professional,"Rs 94,86,571
~ 94 Lacs+","Rs 4,57,151
~ 4 Lacs+",27738,Omaxe Ltd,bhopinder singh,Director
108,430,madhusudan mistry,Sabarkantha,INC,0,Post Graduate,"Rs 18,26,173
~ 18 Lacs+","Rs 1,25,000
~ 1 Lacs+",20793,Lafarge India Ltd,madhusudan mishra,Company Secretary
109,431,virendra kumar,Sagar,BJP,0,Post Graduate,"Rs 14,29,786
~ 14 Lacs+","Rs 0
~",751,McNally Bharat Engineering Company Ltd,virendra kumar verma,Director
110,431,virendra kumar,Sagar,BJP,0,Post Graduate,"Rs 14,29,786
~ 14 Lacs+","Rs 0
~",5772,JK Paper Ltd,dhirendra kumar,Director
111,431,virendra kumar,Sagar,BJP,0,Post Graduate,"Rs 14,29,786
~ 14 Lacs+","Rs 0
~",23244,ISMT Ltd,virendra kapoor,Director
112,431,virendra kumar,Sagar,BJP,0,Post Graduate,"Rs 14,29,786
~ 14 Lacs+","Rs 0
~",28472,ACME Tele Power Ltd,virendra kumar maurya,Director
113,431,virendra kumar,Sagar,BJP,0,Post Graduate,"Rs 14,29,786
~ 14 Lacs+","Rs 0
~",25093,Dharampal Satyapal Ltd,ravinder kumar,Chairman
114,444,meira kumar,Sasaram,INC,0,Post Graduate,"Rs 2,89,56,730
~ 2 Crore+","Rs 36,00,000
~ 36 Lacs+",27313,Parabolic Drugs Ltd,ram kumar,Director
115,455,sitaram singh,Sheohar,RJD,0,Graduate,"Rs 46,24,000
~ 46 Lacs+","Rs 0
~",2966,Motherson Sumi Systems Ltd,amarjit singh,Director
116,455,sitaram singh,Sheohar,RJD,0,Graduate,"Rs 46,24,000
~ 46 Lacs+","Rs 0
~",12068,Power Finance Corporation Ltd,satnam singh,Chairman & Managing Director
117,468,rajesh verma,Sitapur,BSP,0,Post Graduate,"Rs 48,50,000
~ 48 Lacs+","Rs 10,04,319
~ 10 Lacs+",13869,THDC India Ltd,rajesh verma,Nominee (Govt)
118,468,rajesh verma,Sitapur,BSP,0,Post Graduate,"Rs 48,50,000
~ 48 Lacs+","Rs 10,04,319
~ 10 Lacs+",18075,Rural Electrification Corporation Ltd,rajeev sharma,Chairman & Managing Director
119,470,ravichandran a,Sivakasi,MDMK,0,Graduate,"Rs 30,58,910
~ 30 Lacs+","Rs 0
~",976,Su-Raj Diamonds & Jewellery Ltd,r ravichandran,Director (Operation)
120,470,ravichandran a,Sivakasi,MDMK,0,Graduate,"Rs 30,58,910
~ 30 Lacs+","Rs 0
~",15853,Gujarat State Petroleum Corporation Ltd,n ravichandran,Director
121,470,ravichandran a,Sivakasi,MDMK,0,Graduate,"Rs 30,58,910
~ 30 Lacs+","Rs 0
~",21241,National Stock Exchange Of India Ltd,j ravichandran,Director & Company Secretary
122,470,ravichandran a,Sivakasi,MDMK,0,Graduate,"Rs 30,58,910
~ 30 Lacs+","Rs 0
~",4301,TTK Prestige Ltd,s ravichandran,Managing Director
123,470,ravichandran a,Sivakasi,MDMK,0,Graduate,"Rs 30,58,910
~ 30 Lacs+","Rs 0
~",23050,Pipavav Defence & Offshore Engineering Company Ltd,n ravichandran,Alternate Director
124,473,vijay kumar malhotra,South Delhi,BJP,0,Doctorate,"Rs 89,88,478
~ 89 Lacs+","Rs 0
~",247,Hindustan Motors Ltd,vijay kumar sharma,Nominee (LIC)
125,473,vijay kumar malhotra,South Delhi,BJP,0,Doctorate,"Rs 89,88,478
~ 89 Lacs+","Rs 0
~",1850,Ruchi Strips & Alloys Ltd,vijay kumar mahajan,Director
126,473,vijay kumar malhotra,South Delhi,BJP,0,Doctorate,"Rs 89,88,478
~ 89 Lacs+","Rs 0
~",27387,L T Foods Ltd,vijay kumar arora,Chairman & Managing Director
127,481,rattan singh,Tarn Taran,SAD,1,Graduate Professional,"Rs 2,95,16,341
~ 2 Crore+","Rs 0
~",24955,Indiabulls Financial Services Ltd,karan singh,Director
128,508,shivraj singh,Vidisha,BJP,2,Post Graduate,"Rs 58,14,600
~ 58 Lacs+","Rs 2,87,640
~ 2 Lacs+",6890,DLF Ltd,rajiv singh,Vice Chairman
129,508,shivraj singh,Vidisha,BJP,2,Post Graduate,"Rs 58,14,600
~ 58 Lacs+","Rs 2,87,640
~ 2 Lacs+",6890,DLF Ltd,rajiv singh,Vice Chairman
